q,p,lo,hi,coverage,n_local,method,cond_number
802,0,0.622178995417842,0.675183090744668,0.0530328045917873,281,interval,1000594.3036898043
802,1,0.761747523537206,0.911211151604108,0.14948621146398175,760,interval,1895233.0896890182
803,0,0.116246939573571,0.773775558577664,0.6578847643778849,1000,interval_capped,2122517.763354451
803,1,0.419388076513628,0.897238441868485,0.47792256676388917,1000,interval_capped,960792.678263973
804,0,0.444169357329818,0.889753509936351,0.4458254998726432,1000,interval_capped,1376145.8612859389
804,1,0.217429835860043,0.699425742978054,0.48206873490295127,1000,interval_capped,1603435.4067123223
805,0,0.205610951615841,0.582066269790544,0.3766592223335978,1000,interval_capped,1270558.8647596028
805,1,0.530666785333111,0.630828479333282,0.10017682805878476,512,interval,1795707.322208575
806,0,0.875921369727046,0.955286465012966,0.0794080827859461,418,interval,1347600.866914786
806,1,0.00180125125151682,0.101807114823101,0.10002097408480097,460,interval,1442411.6012604097
807,0,0.710740179849442,0.961951113630196,0.2513470002717418,1000,interval_capped,1196879.7313745187
807,1,0.138419027759511,0.156054870861307,0.017638507811951604,107,interval,997832.137678578
808,0,0.123372829222816,0.147946757266469,0.024587238324811397,120,interval,1038145.2051967195
808,1,0.192908123438753,0.673102770600073,0.4802672027825949,1000,interval_capped,1379363.760536648
809,0,0.237649767212219,0.87796173945369,0.6406587923495338,1000,interval_capped,1121969.4269485425
809,1,0.950494617896462,0.975722098987955,0.025231292869851332,120,interval,1202532.5951844093
810,0,0.236481476852188,0.272784835675906,0.03632302226181709,205,interval,1159312.6990178463
810,1,0.471128013894502,0.938592953924636,0.46753557224011105,1000,interval_capped,2256533.6303773075
811,0,0.408626133070308,0.892569847249871,0.4842058386103471,1000,interval_capped,2256959.7490250478
811,1,0.658051105306797,0.803329701356772,0.14530054710431647,734,interval,1070893.1760902074
812,0,0.710740179849442,0.723428860528046,0.012695553405953913,60,interval,1299066.9219935175
812,1,0.0957082783688351,0.138419027759511,0.042717202825705805,232,interval,1052824.4701538745
813,0,0.0511397213019224,0.534050264987415,0.4831721085073393,1000,interval_capped,1247541.128342426
813,1,0.438534696279362,0.578942628811035,0.14042914764691217,674,interval,2689030.9498178414
814,0,0.768309935936758,0.907993844008147,0.13975956679743523,691,interval,1818695.733092614
814,1,0.886319709979334,0.908766754524119,0.022450436209545108,113,interval,1488660.1529948106
815,0,0.627941537385392,0.759252631125858,0.1313822173953329,633,interval,1406923.777220197
815,1,0.0495002246847509,0.259409984128299,0.20994147602576768,1000,interval_capped,1453347.425654034
816,0,0.322031803296801,0.399202755572039,0.07721275133439619,409,interval,1385411.2866206134
816,1,0.0264832902729848,0.876986591155546,0.850631808761099,1000,interval_capped,1299028.332460974
817,0,0.733974498265536,0.811153687293411,0.07722099254840759,379,interval,1835408.5147323308
817,1,0.417478336659636,0.698110123924357,0.2806741896817301,1000,interval_capped,2432218.427404096
818,0,0.643349404923164,0.700794612159454,0.0574763219957278,283,interval,1845051.1811593685
818,1,0.373958916541474,0.863675682544085,0.4897907603805494,1000,interval_capped,2082150.3306686592
819,0,0.21270724736263,0.809214203880923,0.5968300499728721,1000,interval_capped,1318526.4789572628
819,1,0.0361933705521527,0.727504606464681,0.6914156904634328,1000,interval_capped,1341827.7844605192
820,0,0.750383088287747,0.954612190568164,0.20433972141982573,1000,interval_capped,1816784.6921888462
820,1,0.514251714515603,0.611714469772564,0.09747748151599084,492,interval,1420185.1593491554
821,0,0.0220676838758703,0.0939966030246364,0.07196787890056441,327,interval,1622232.2141037725
821,1,0.331850865555932,0.47140775531072,0.13957797628063578,736,interval,1320550.0063013914
822,0,0.768310921256757,0.785088437198899,0.0167866033560032,96,interval,1584820.327493802
