seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs
19,3.78035956955081e-06,9.383835149165906e-06,4.040259792000143,3.667773864505e-06,6.191166766163052e-06,8.24955058299929
20,3.776580273422119e-06,9.38336755525276e-06,3.949803374998737,3.873551888796639e-06,6.3657033406381255e-06,7.5778034159993695
21,3.7194091062001604e-06,9.287078994869928e-06,3.8254779580001923,3.87526890459561e-06,6.33315430906366e-06,7.652544833999855
22,3.731367148474076e-06,9.300051978717135e-06,3.944177375000436,3.717060087720385e-06,6.136181766863235e-06,7.783302333999018
23,3.7404710433262984e-06,9.348640272870847e-06,3.9372027080007683,3.663756447375055e-06,6.166658476984155e-06,7.71195708400046
24,3.6925844976815663e-06,9.315924293446205e-06,3.8761975829984294,3.7128248218423255e-06,6.0910172164662726e-06,7.182348833001015
25,3.7451257966211216e-06,9.324881951969419e-06,3.686138416000176,3.880098077318308e-06,6.410487571240258e-06,7.278400499999407
26,3.7438026839884114e-06,9.33149670064857e-06,3.527414874999522,3.8793591432509795e-06,6.4764774275807505e-06,7.427167750000081
27,3.7252544999601656e-06,9.369051215957417e-06,3.577950167000381,3.845799225597433e-06,6.356883911398502e-06,7.38720370900046
28,3.665267630620695e-06,9.256282449804235e-06,3.893948625000121,3.626178387636207e-06,5.947858261131185e-06,7.60515545799899
29,3.695883189759851e-06,9.22346147051538e-06,3.8113620420008374,3.5779376498064145e-06,5.799826257459058e-06,7.9098651660006
30,3.80086240809469e-06,9.413993711879138e-06,3.638979167000798,4.017754335138752e-06,6.6995007361275235e-06,6.989471000000776
31,3.725337173261942e-06,9.362423656885665e-06,3.827352250000331,3.6700725835534716e-06,6.17078444861462e-06,7.233120582999618
32,3.7716415055057385e-06,9.358652502808864e-06,3.4612969999998313,3.6787641128335864e-06,6.235400171123588e-06,7.329970458000389
33,3.790256564370275e-06,9.36588392061069e-06,3.6000002500004484,4.049270686163188e-06,6.646038760542439e-06,6.709213542000725
34,3.7742905994890323e-06,9.372055207614231e-06,3.5295780420001392,4.0482535324532705e-06,6.875419120410694e-06,6.9946630419999565
35,3.7601200644585935e-06,9.320192236314461e-06,3.5326937080008065,3.8039275533808396e-06,6.27629097676529e-06,7.515206624999337
36,3.748283780354563e-06,9.287902445426523e-06,4.949557500000083,3.869804577954172e-06,6.5530321963739524e-06,7.429181874998903
37,3.7062201157298464e-06,9.283030498547756e-06,4.671582709001086,3.6700984890702908e-06,5.9573710025651365e-06,8.203119875000993
38,3.7500825780094038e-06,9.376196279750919e-06,3.4358023749991844,3.7176932061570663e-06,6.343738152279302e-06,7.944146749998254
39,3.6944251221353245e-06,9.205650937187967e-06,3.4714940000012575,3.600519853888892e-06,5.813768451838053e-06,7.107501709000644
40,3.755098160440296e-06,9.345413639940472e-06,3.67691908300003,3.797161509709886e-06,6.2663887373050445e-06,7.567658375000974
41,3.7805934990795035e-06,9.343991048197426e-06,3.579230542000005,3.8248429807177925e-06,6.246740129414996e-06,7.904995374999999
42,3.7757262329611664e-06,9.424432115549563e-06,4.092647499999657,3.7328875673638186e-06,6.372148881407589e-06,7.716951582999172
43,3.751064422347044e-06,9.35371581672069e-06,3.7264391249991604,3.7346669590783185e-06,6.263313658545482e-06,8.437335041999177
44,3.7283997551939873e-06,9.29992404985967e-06,4.020541416999549,3.767072798884008e-06,6.190906846026642e-06,7.77464449999934
45,3.714596603473535e-06,9.250576880348686e-06,3.799853540998811,3.7724007093017513e-06,6.1920821961455946e-06,7.272924375000002
46,3.7543445487988487e-06,9.364033218300598e-06,3.4193092090008577,4.0271357648977335e-06,6.8070128486792936e-06,7.187402333000136
47,3.7552486130236963e-06,9.326666344187315e-06,3.52578262499992,3.666842618856292e-06,6.045690849062127e-06,7.466846749999604
48,3.726881418622902e-06,9.37657549298195e-06,3.7155658329993457,3.6240698519867927e-06,6.119621136778489e-06,7.880989582999973
49,3.740057648935192e-06,9.320864756142955e-06,3.5680042920012056,3.7559831075044127e-06,6.135358709254447e-06,7.272204832999705
