seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs,fit_time_secs
13,1.2476557188431658e-11,1.6903943273272385e-11,1.1121284999971977,1.4828121942117578e-11,2.6979460185992118e-11,1.9621489589917473,3.367926124992664
14,1.0436368288666009e-11,1.4115635852346903e-11,1.3451500000082888,1.2274969701797644e-11,2.2895543920317213e-11,1.9913159159914358,3.371522833011113
15,1.36854318388141e-11,1.849712958150465e-11,1.1885894589941017,1.5859088849101698e-11,2.748077359745025e-11,1.8677714169898536,3.37523754099675
16,8.671475903651582e-12,1.183033777616299e-11,1.2179542500089156,9.951011276793098e-12,1.781260631042843e-11,1.9673294579988578,3.3629244579933584
17,1.2530206219482642e-11,1.6677534975209258e-11,1.1463233749964274,1.4289380557280795e-11,2.4683215410232118e-11,2.059953542004223,3.5452677499997662
18,1.0868115462789319e-11,1.4623946399365524e-11,1.1091279999964172,1.264749344559446e-11,1.9974582174478546e-11,1.990188333002152,3.4158138329948997
19,1.177568719722133e-11,1.581716591943625e-11,0.9990000000107102,1.3351530772642839e-11,2.1241035276865557e-11,1.9876699580054265,3.2638010420050705
20,1.0994925708426861e-11,1.4505106809222223e-11,0.9219250000023749,1.2468140991872545e-11,1.8452192776835842e-11,1.9351000000024214,3.2669377500133123
21,9.534553047432782e-12,1.2709936838249959e-11,1.1672106659971178,1.1048122959544938e-11,2.1619426113028263e-11,1.9028196250001201,3.4114951670053415
22,8.685294240404206e-12,1.1587062473041931e-11,1.1376024589990266,1.0110727598905412e-11,2.0894474000015958e-11,1.7843563749920577,3.325071792001836
23,1.4420000044382265e-11,1.9813703375960538e-11,1.1000569999887375,1.669792581773799e-11,2.8292086805799508e-11,2.06354408300831,3.446593375003431
24,9.856949273120975e-12,1.3269351152489647e-11,1.1559324999980163,1.167035793350757e-11,1.866030295225506e-11,2.031324042007327,3.3308229579997715
25,2.1040161884630647e-11,2.8066232715031723e-11,1.1972382090025349,2.45070245111223e-11,4.065614129713484e-11,1.930491458013421,3.4439484579925193
26,1.1955518243109142e-11,1.5875710748477356e-11,0.966436499991687,1.3942733070176905e-11,2.4353157410814335e-11,1.9693974160036305,3.4131713329988997
27,1.0015786955017147e-11,1.3456032201781233e-11,1.052818665993982,1.1632348062562414e-11,2.0393139663644995e-11,1.9896977079915814,3.5378325839992613
28,1.5178907128085563e-11,2.0530374975041527e-11,1.1347579169960227,1.7117652658521497e-11,2.621738708987374e-11,1.8181604160054121,3.5184133750008186
29,9.530812039235115e-12,1.32252586937175e-11,1.0885309999866877,1.0824048094631999e-11,1.7260044020866455e-11,1.9845890419965144,3.4933087499957765
30,1.2469826706981713e-11,1.7119764433651114e-11,1.0474136249977164,1.4378793045111137e-11,2.752648737994579e-11,2.0159235829924,3.3093340000050375
31,1.1700056739769039e-11,1.572041733999461e-11,1.1607151250063907,1.3041662708102032e-11,1.9839571013556114e-11,1.9942860410083085,3.3734972500096774
32,7.281014474322388e-12,9.890323493700298e-12,1.195000333013013,8.75540155723109e-12,1.6670135329168362e-11,1.9923927079944406,3.3927124589972664
33,1.0831975037414732e-11,1.513605179976597e-11,1.2146651670045685,1.2741590314779838e-11,2.448122174691704e-11,1.9346325840015197,3.307051291994867
34,1.2199097336115794e-11,1.6741573164184535e-11,1.1101389160030521,1.4132730796062587e-11,2.3623985393286054e-11,1.9560833340074169,3.2693055829877267
35,1.1779143009246761e-11,1.5814011116271024e-11,1.3113715409999713,1.370427141766939e-11,2.413860136685246e-11,2.0387760419980623,3.308402708993526
36,1.3034985313006841e-11,1.7530498734531634e-11,1.2427710839983774,1.5263655227942818e-11,2.3821264252778858e-11,1.867264417000115,3.3128655000036815
37,9.365645963974045e-12,1.275415062246021e-11,1.0365175420010928,1.0898491175498349e-11,1.9593271795235493e-11,1.977723457996035,3.3424803749949206
38,1.2671823706664198e-11,1.7196964782405344e-11,1.169097125006374,1.4495240918677154e-11,2.863508167262696e-11,2.0546701670100447,3.297957917005988
39,1.0950458733879898e-11,1.485327270327321e-11,1.1030332920054207,1.2672768102961473e-11,2.1100217731283234e-11,1.9437339580035768,3.486238625002443
40,8.964318238754987e-12,1.2240581248928593e-11,1.1004547500051558,1.0229983897491746e-11,1.5870955148383194e-11,2.0357733749988256,3.4353478330012877
41,1.0310646650010801e-11,1.382425949678385e-11,1.0225708750076592,1.1896934988542274e-11,2.014834848875908e-11,2.084229125001002,3.2620122079970315
42,1.1713085435252623e-11,1.607121665476078e-11,1.0331597090116702,1.4019283840760455e-11,2.414917629487973e-11,2.0797635829949286,3.3752667079970706
43,1.8453630809198152e-11,2.570199304978008e-11,1.1255858750082552,2.1117099592571353e-11,3.555766641975038e-11,2.005728290998377,3.4649940420058556
44,1.0924100712558783e-11,1.5080958708382143e-11,1.1243561250012135,1.2903501853123167e-11,2.1622186382395458e-11,2.0330716669996036,3.320381833007559
45,1.5021178292537463e-11,2.026971484630771e-11,1.1026171249977779,1.770214801341541e-11,3.182637276691262e-11,1.863421042013215,3.5255912910070037
46,1.2595123482714298e-11,1.736519772109917e-11,1.1444434170116438,1.421075086494028e-11,2.2165666016127267e-11,2.0460411250096513,3.3052860830066493
47,5.820651603413718e-12,7.82537455710567e-12,1.226971208001487,6.784631861878054e-12,1.1367959011807333e-11,2.052411208002013,3.3887547080084914
48,1.506298618024482e-11,2.00152082756692e-11,1.5789777080062777,1.7088402561732387e-11,2.58105931206917e-11,2.379652082992834,4.354511708996142
49,8.653710439551766e-12,1.1997635220599695e-11,1.0881706250074785,1.0181499436601182e-11,1.893960214251396e-11,2.0700974159990437,3.519005541995284
