seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs
25,1.9878835807222646e-08,2.6621039186400797e-08,1.4830470830202103,3.176448499687262e-08,7.049450313912897e-08,2.667576000036206
26,0.0008429654604261986,0.00109496758565649,1.4697279580286704,0.0011981476673896484,0.0027305397518851194,2.6601735000149347
27,7.541997979962356e-12,1.0105052017781935e-11,1.4616842500399798,1.8159464078293384e-11,1.917005628071512e-10,2.7814605419989675
28,1.487586751277411e-07,1.9631919140833362e-07,1.5006805839948356,2.5224068095214547e-07,7.694417268519779e-07,2.8659102499950677
29,9.688943916376928e-07,1.277902091450884e-06,1.482149041024968,1.465995550616108e-06,4.365760704303698e-06,2.6727611669921316
30,4.2747204815788904e-08,5.6606553564802143e-08,1.4866275420063175,7.486828902778311e-08,5.060135494933357e-07,2.5627672920236364
31,8.023275320151111e-09,1.0566110557489607e-08,1.4262779999990016,1.4677904797615743e-08,4.606821119853105e-08,2.597969624970574
32,2.8827378765229615e-10,3.8299434127705834e-10,1.464036290999502,5.988958732668082e-10,5.3856535831560854e-09,2.7588969170465134
33,2.9275083735473205e-08,3.8965489964315576e-08,1.8271481249830686,4.818899869518042e-08,1.253439528764395e-07,2.9492090410203673
34,3.878418372796587e-08,5.173636185274999e-08,1.5065990420407616,6.438945520079037e-08,1.8519516857607908e-07,2.8106655000010505
35,1.212385519130145e-08,1.581496511668321e-08,1.3853474169736728,1.8921848309879503e-08,4.370348248407792e-08,2.6305291250464506
36,1.3830227004775485e-10,1.864699048123485e-10,1.63153891696129,2.641286117023578e-10,7.555836465955107e-10,2.8604661250137724
37,5.2717289205847507e-11,7.083795483840664e-11,1.3678157500107773,1.0911731807561331e-10,9.661500568489643e-10,2.7701202089665458
38,6.0998354898344e-08,8.118066701345484e-08,1.437212917022407,9.959055183904261e-08,3.3109485597496273e-07,2.6585556670324877
39,4.839843099620905e-10,6.486849266050491e-10,1.5981912499992177,1.1911432654360121e-09,1.2955858435107805e-08,2.8377885000081733
40,4.097286036182056e-08,5.4635743504812864e-08,1.4605116669554263,6.508408200687973e-08,2.0711542171701226e-07,2.731374541996047
41,1.3401679348802599e-10,1.7512640588824516e-10,1.535994334029965,2.519294722370946e-10,1.7882601838105166e-09,2.7203103749779984
42,2.384031408914772e-10,3.263405526423047e-10,1.5033107500057667,5.304801014065219e-10,3.7641868126926975e-09,2.7783072920283303
43,2.3726537469858507e-09,3.113633913319661e-09,1.3389340830035508,3.958992405511674e-09,1.0487127471524275e-08,2.6528355419868603
44,5.8896384804775145e-08,7.703602978918621e-08,1.3686887919902802,8.500886097296684e-08,1.8560947332889336e-07,2.6288099159719422
45,8.159187087897444e-08,1.0904552285281625e-07,1.4473125000367872,1.3465597599656502e-07,3.485955654290264e-07,2.851924166025128
46,1.1338130735706522e-06,1.5037364262760367e-06,1.5332978329970501,1.8107779630395275e-06,5.56322338028495e-06,2.597906916984357
47,5.742945420991047e-10,7.581735833600551e-10,1.544671124953311,1.1255247545027824e-09,9.112538293520298e-09,3.255424416041933
48,2.269057082093448e-09,3.004590737043907e-09,1.3415938329999335,3.6230903694742245e-09,9.801572291221231e-09,2.685171374992933
49,2.19100163552019e-10,2.9428263356066235e-10,1.508318500011228,5.073599192578771e-10,5.0092221661787645e-09,3.230845500016585
