,model_type,n_width,n_layers,l2_relative,time_fit,xlim_min,xlim_max,n_dim,n_points_train,n_points_test,random_seed
133,randomfeatures,1024,3,0.052743404485853,2.156805992126465,-1,1,1,10000,10000,4
134,randomfeatures,1024,3,0.06415956442683565,1.6065635681152344,-1,1,1,10000,10000,5
135,randomfeatures,1625,3,0.08098407676624657,4.687976837158203,-1,1,1,10000,10000,1
136,randomfeatures,1625,3,0.046076623733573276,2.9773430824279785,-1,1,1,10000,10000,2
137,randomfeatures,1625,3,0.07808387667999377,2.9525105953216553,-1,1,1,10000,10000,3
138,randomfeatures,1625,3,0.04962341897631471,2.948686361312866,-1,1,1,10000,10000,4
139,randomfeatures,1625,3,0.06215705165857062,2.9250056743621826,-1,1,1,10000,10000,5
140,randomfeatures,2580,3,0.0948765482634197,7.4735236167907715,-1,1,1,10000,10000,1
141,randomfeatures,2580,3,0.08667080785219265,7.89400577545166,-1,1,1,10000,10000,2
142,randomfeatures,2580,3,0.08930327959256219,7.75959587097168,-1,1,1,10000,10000,3
143,randomfeatures,2580,3,0.09545788516428107,7.49060583114624,-1,1,1,10000,10000,4
144,randomfeatures,2580,3,0.09207324568954778,7.814690589904785,-1,1,1,10000,10000,5
145,randomfeatures,4096,3,0.18517044347099568,37.87805533409119,-1,1,1,10000,10000,1
146,randomfeatures,4096,3,0.2122848360759778,27.499001026153564,-1,1,1,10000,10000,2
147,randomfeatures,4096,3,0.1926850847682367,30.566338777542114,-1,1,1,10000,10000,3
148,randomfeatures,4096,3,0.20978360261842902,22.478448390960693,-1,1,1,10000,10000,4
149,randomfeatures,4096,3,0.20452986474098866,22.759148359298706,-1,1,1,10000,10000,5
150,randomfeatures,64,1,0.0056544162849289205,0.024577856063842773,-1,1,2,10000,10000,1
151,randomfeatures,64,1,0.0054897942374944235,0.024410724639892578,-1,1,2,10000,10000,2
152,randomfeatures,64,1,0.005570020442231712,0.02484130859375,-1,1,2,10000,10000,3
