,model_type,n_width,n_layers,l2_relative,time_fit,xlim_min,xlim_max,n_dim,n_points_train,n_points_test,random_seed
98,sampling,4096,2,4.537203327696555e-09,19.827507972717285,-1,1,1,10000,10000,4
99,sampling,4096,2,3.858277971939564e-09,19.903693437576294,-1,1,1,10000,10000,5
100,sampling,64,3,0.025921618882544347,0.06861615180969238,-1,1,1,10000,10000,1
101,sampling,64,3,0.0021356378085088455,0.06926083564758301,-1,1,1,10000,10000,2
102,sampling,64,3,0.03328141679929412,0.07949280738830566,-1,1,1,10000,10000,3
103,sampling,64,3,0.0023815915918239004,0.0796518325805664,-1,1,1,10000,10000,4
104,sampling,64,3,0.04130397478035534,0.08409738540649414,-1,1,1,10000,10000,5
105,sampling,101,3,0.000997117126384139,0.12829995155334473,-1,1,1,10000,10000,1
106,sampling,101,3,0.00011956933974176092,0.13976836204528809,-1,1,1,10000,10000,2
107,sampling,101,3,0.002558834034785668,0.1269526481628418,-1,1,1,10000,10000,3
108,sampling,101,3,0.0003446472734381087,0.1283266544342041,-1,1,1,10000,10000,4
109,sampling,101,3,0.001583999575326475,0.12832927703857422,-1,1,1,10000,10000,5
110,sampling,161,3,0.00010379650833153432,0.2128276824951172,-1,1,1,10000,10000,1
111,sampling,161,3,3.5914856829902627e-07,0.20725703239440918,-1,1,1,10000,10000,2
112,sampling,161,3,4.326312740721558e-05,0.21383261680603027,-1,1,1,10000,10000,3
113,sampling,161,3,2.7946883268767923e-05,0.20623469352722168,-1,1,1,10000,10000,4
114,sampling,161,3,7.1757580555823665e-06,0.20833563804626465,-1,1,1,10000,10000,5
115,sampling,256,3,4.358328749112178e-06,0.33330273628234863,-1,1,1,10000,10000,1
116,sampling,256,3,8.285909718315332e-09,0.32717132568359375,-1,1,1,10000,10000,2
117,sampling,256,3,5.500335788194522e-06,0.3276336193084717,-1,1,1,10000,10000,3
118,sampling,256,3,1.3319278789262352e-05,0.3265542984008789,-1,1,1,10000,10000,4
119,sampling,256,3,1.1579858655197297e-07,0.3300173282623291,-1,1,1,10000,10000,5
120,sampling,406,3,1.6632349727379368e-06,0.49881458282470703,-1,1,1,10000,10000,1
121,sampling,406,3,9.748261597297971e-07,0.49195241928100586,-1,1,1,10000,10000,2
122,sampling,406,3,3.0804060145750335e-06,0.4941086769104004,-1,1,1,10000,10000,3
123,sampling,406,3,1.9106863816396075e-06,0.49368977546691895,-1,1,1,10000,10000,4
124,sampling,406,3,3.856776714233192e-08,0.49243593215942383,-1,1,1,10000,10000,5
125,sampling,645,3,2.890723529323134e-07,0.8923702239990234,-1,1,1,10000,10000,1
126,sampling,645,3,5.114843225140345e-07,0.8874304294586182,-1,1,1,10000,10000,2
127,sampling,645,3,6.323241651186952e-07,0.8932569026947021,-1,1,1,10000,10000,3
128,sampling,645,3,2.3863100313424985e-07,0.9077930450439453,-1,1,1,10000,10000,4
129,sampling,645,3,7.623447908473484e-08,0.8868496417999268,-1,1,1,10000,10000,5
130,sampling,1024,3,4.045494017692507e-07,1.5224931240081787,-1,1,1,10000,10000,1
131,sampling,1024,3,3.8522910975341306e-07,1.5430982112884521,-1,1,1,10000,10000,2
132,sampling,1024,3,2.7031169357629956e-07,1.533496618270874,-1,1,1,10000,10000,3
133,sampling,1024,3,1.8043440742476003e-07,1.536332368850708,-1,1,1,10000,10000,4
134,sampling,1024,3,2.4697292532329714e-07,1.5314736366271973,-1,1,1,10000,10000,5
135,sampling,1625,3,2.9411588365590577e-07,2.8605408668518066,-1,1,1,10000,10000,1
136,sampling,1625,3,1.8679170271982459e-07,2.8764994144439697,-1,1,1,10000,10000,2
137,sampling,1625,3,2.5060080271255395e-07,2.907280921936035,-1,1,1,10000,10000,3
138,sampling,1625,3,1.4014062828289133e-07,2.9227702617645264,-1,1,1,10000,10000,4
139,sampling,1625,3,1.2588422479008283e-07,2.8946421146392822,-1,1,1,10000,10000,5
140,sampling,2580,3,2.4097561025110195e-07,7.357234239578247,-1,1,1,10000,10000,1
141,sampling,2580,3,1.4847032544790424e-07,7.311933994293213,-1,1,1,10000,10000,2
142,sampling,2580,3,2.1923914586003137e-07,7.329850196838379,-1,1,1,10000,10000,3
143,sampling,2580,3,1.0697883037957869e-07,7.308485507965088,-1,1,1,10000,10000,4
144,sampling,2580,3,1.2586706459175627e-07,7.365254878997803,-1,1,1,10000,10000,5
145,sampling,4096,3,2.5293707641313007e-07,22.08201241493225,-1,1,1,10000,10000,1
146,sampling,4096,3,2.581091988827949e-07,22.025901556015015,-1,1,1,10000,10000,2
147,sampling,4096,3,2.545106360589998e-07,22.04069232940674,-1,1,1,10000,10000,3
148,sampling,4096,3,2.321189366220011e-07,22.06826949119568,-1,1,1,10000,10000,4
149,sampling,4096,3,2.4671439956663866e-07,22.104459285736084,-1,1,1,10000,10000,5
150,sampling,64,1,0.013474125973754884,0.025935649871826172,-1,1,2,10000,10000,1
151,sampling,64,1,0.013490516242527608,0.02640223503112793,-1,1,2,10000,10000,2
152,sampling,64,1,0.01336630144930875,0.026383161544799805,-1,1,2,10000,10000,3
153,sampling,64,1,0.01345620641441197,0.025782108306884766,-1,1,2,10000,10000,4
154,sampling,64,1,0.013532994236520983,0.026251792907714844,-1,1,2,10000,10000,5
155,sampling,101,1,0.01293020188617989,0.047493696212768555,-1,1,2,10000,10000,1
156,sampling,101,1,0.012321196661357321,0.04861140251159668,-1,1,2,10000,10000,2
157,sampling,101,1,0.010322032491404138,0.049121856689453125,-1,1,2,10000,10000,3
158,sampling,101,1,0.01159706273792041,0.04811263084411621,-1,1,2,10000,10000,4
159,sampling,101,1,0.010975225665953358,0.0486910343170166,-1,1,2,10000,10000,5
160,sampling,161,1,0.008106406992951374,0.07944154739379883,-1,1,2,10000,10000,1
161,sampling,161,1,0.009683593207337443,0.07689118385314941,-1,1,2,10000,10000,2
162,sampling,161,1,0.008321046278045755,0.07877731323242188,-1,1,2,10000,10000,3
163,sampling,161,1,0.009486470420305504,0.08144807815551758,-1,1,2,10000,10000,4
164,sampling,161,1,0.00910416247373217,0.07802104949951172,-1,1,2,10000,10000,5
165,sampling,256,1,0.007270686732750056,0.1335010528564453,-1,1,2,10000,10000,1
166,sampling,256,1,0.007323365907077393,0.12900161743164062,-1,1,2,10000,10000,2
167,sampling,256,1,0.007306253472038535,0.12946057319641113,-1,1,2,10000,10000,3
168,sampling,256,1,0.007352681813368345,0.12829136848449707,-1,1,2,10000,10000,4
169,sampling,256,1,0.007304237067539836,0.12926983833312988,-1,1,2,10000,10000,5
170,sampling,406,1,0.0065596221976431815,0.21258020401000977,-1,1,2,10000,10000,1
171,sampling,406,1,0.006902744069150377,0.20394015312194824,-1,1,2,10000,10000,2
172,sampling,406,1,0.007222374652784215,0.20445489883422852,-1,1,2,10000,10000,3
173,sampling,406,1,0.0071510906804713135,0.20381641387939453,-1,1,2,10000,10000,4
174,sampling,406,1,0.006869332651001449,0.20419979095458984,-1,1,2,10000,10000,5
175,sampling,645,1,0.004959793487125698,0.3452930450439453,-1,1,2,10000,10000,1
176,sampling,645,1,0.005478978234482018,0.3426845073699951,-1,1,2,10000,10000,2
177,sampling,645,1,0.005195350860634504,0.34189891815185547,-1,1,2,10000,10000,3
178,sampling,645,1,0.005453152920754548,0.3427450656890869,-1,1,2,10000,10000,4
179,sampling,645,1,0.005156765728285606,0.3621392250061035,-1,1,2,10000,10000,5
180,sampling,1024,1,0.004369686287852466,0.727750301361084,-1,1,2,10000,10000,1
181,sampling,1024,1,0.004673105204923222,0.725970983505249,-1,1,2,10000,10000,2
182,sampling,1024,1,0.0046388237253623755,0.7276871204376221,-1,1,2,10000,10000,3
183,sampling,1024,1,0.0046403747849972764,0.7276811599731445,-1,1,2,10000,10000,4
184,sampling,1024,1,0.004591520540463715,0.723416805267334,-1,1,2,10000,10000,5
185,sampling,1625,1,0.003546236714849003,1.5879898071289062,-1,1,2,10000,10000,1
186,sampling,1625,1,0.0038006751568095388,1.596149206161499,-1,1,2,10000,10000,2
187,sampling,1625,1,0.003821059472811035,1.6073007583618164,-1,1,2,10000,10000,3
188,sampling,1625,1,0.004322514020453869,1.589003086090088,-1,1,2,10000,10000,4
189,sampling,1625,1,0.0042833460088699555,1.5864238739013672,-1,1,2,10000,10000,5
190,sampling,2580,1,0.003030023245778248,5.0768163204193115,-1,1,2,10000,10000,1
191,sampling,2580,1,0.0031331784299859595,5.0892698764801025,-1,1,2,10000,10000,2
192,sampling,2580,1,0.0030460741231392407,5.078433275222778,-1,1,2,10000,10000,3
193,sampling,2580,1,0.002898486867683701,5.077987909317017,-1,1,2,10000,10000,4
194,sampling,2580,1,0.003024706739052067,5.07269549369812,-1,1,2,10000,10000,5
195,sampling,4096,1,0.001975802438102824,17.63578748703003,-1,1,2,10000,10000,1
196,sampling,4096,1,0.0021811734977330616,17.601568698883057,-1,1,2,10000,10000,2
197,sampling,4096,1,0.002120501075498465,17.595045804977417,-1,1,2,10000,10000,3
198,sampling,4096,1,0.0019184626719659396,17.598769426345825,-1,1,2,10000,10000,4
199,sampling,4096,1,0.0020361556950226484,17.59866762161255,-1,1,2,10000,10000,5
200,sampling,64,2,0.08151852680042587,0.048949241638183594,-1,1,2,10000,10000,1
201,sampling,64,2,0.07305820822365316,0.04835963249206543,-1,1,2,10000,10000,2
202,sampling,64,2,0.027037665416996124,0.04814910888671875,-1,1,2,10000,10000,3
203,sampling,64,2,0.025912671445328928,0.05694460868835449,-1,1,2,10000,10000,4
204,sampling,64,2,0.025659590015023322,0.05803203582763672,-1,1,2,10000,10000,5
205,sampling,101,2,0.029110120508266054,0.08473610877990723,-1,1,2,10000,10000,1
206,sampling,101,2,0.032498118850560344,0.08374166488647461,-1,1,2,10000,10000,2
207,sampling,101,2,0.011990556908563424,0.08885812759399414,-1,1,2,10000,10000,3
208,sampling,101,2,0.018739118866546847,0.09105563163757324,-1,1,2,10000,10000,4
209,sampling,101,2,0.013363613645600582,0.08935809135437012,-1,1,2,10000,10000,5
210,sampling,161,2,0.011761671667606608,0.13366174697875977,-1,1,2,10000,10000,1
211,sampling,161,2,0.005843717238732678,0.14023733139038086,-1,1,2,10000,10000,2
212,sampling,161,2,0.007875880493092954,0.13805580139160156,-1,1,2,10000,10000,3
213,sampling,161,2,0.007998473527090155,0.14377927780151367,-1,1,2,10000,10000,4
214,sampling,161,2,0.0060954856128903,0.13604235649108887,-1,1,2,10000,10000,5
215,sampling,256,2,0.004804937209033991,0.22621417045593262,-1,1,2,10000,10000,1
216,sampling,256,2,0.005088904372901825,0.22730541229248047,-1,1,2,10000,10000,2
217,sampling,256,2,0.005191405804349612,0.22098708152770996,-1,1,2,10000,10000,3
218,sampling,256,2,0.004794470301597764,0.22666049003601074,-1,1,2,10000,10000,4
219,sampling,256,2,0.0035310586220262913,0.22620415687561035,-1,1,2,10000,10000,5
220,sampling,406,2,0.0037999022379428165,0.3470942974090576,-1,1,2,10000,10000,1
221,sampling,406,2,0.0031054959932952757,0.3741281032562256,-1,1,2,10000,10000,2
222,sampling,406,2,0.00435583172181931,0.3385159969329834,-1,1,2,10000,10000,3
223,sampling,406,2,0.0030332700830854897,0.33885717391967773,-1,1,2,10000,10000,4
224,sampling,406,2,0.003251990117530519,0.336867094039917,-1,1,2,10000,10000,5
225,sampling,645,2,0.003344729118860155,0.6025900840759277,-1,1,2,10000,10000,1
226,sampling,645,2,0.0025950159254911715,0.6445982456207275,-1,1,2,10000,10000,2
227,sampling,645,2,0.0027978279955615313,0.6419644355773926,-1,1,2,10000,10000,3
228,sampling,645,2,0.002509749510980738,0.6445107460021973,-1,1,2,10000,10000,4
229,sampling,645,2,0.0026938081216767397,0.6443142890930176,-1,1,2,10000,10000,5
230,sampling,1024,2,0.0024559767727564863,1.1344032287597656,-1,1,2,10000,10000,1
231,sampling,1024,2,0.0012573926553050157,1.143402338027954,-1,1,2,10000,10000,2
232,sampling,1024,2,0.0009139222403551124,1.1292378902435303,-1,1,2,10000,10000,3
233,sampling,1024,2,0.0015700497284419795,1.1272034645080566,-1,1,2,10000,10000,4
234,sampling,1024,2,0.002001291515095872,1.1371688842773438,-1,1,2,10000,10000,5
235,sampling,1625,2,0.0010341075912824167,2.264432430267334,-1,1,2,10000,10000,1
236,sampling,1625,2,0.0009660733638020354,2.2860629558563232,-1,1,2,10000,10000,2
237,sampling,1625,2,0.0006354914758458673,2.2777223587036133,-1,1,2,10000,10000,3
238,sampling,1625,2,0.0011834650235763875,2.240999937057495,-1,1,2,10000,10000,4
239,sampling,1625,2,0.0019818183544364695,2.281647205352783,-1,1,2,10000,10000,5
240,sampling,2580,2,0.0006947881234048807,6.244196891784668,-1,1,2,10000,10000,1
241,sampling,2580,2,0.0006590388590712544,6.261208534240723,-1,1,2,10000,10000,2
242,sampling,2580,2,0.0003803219069181619,6.248823642730713,-1,1,2,10000,10000,3
243,sampling,2580,2,0.0006753445141278087,6.241513013839722,-1,1,2,10000,10000,4
244,sampling,2580,2,0.0006785703875424102,6.2658843994140625,-1,1,2,10000,10000,5
245,sampling,4096,2,0.00028757844459846,20.007929801940918,-1,1,2,10000,10000,1
246,sampling,4096,2,0.00038759484325742065,19.933769702911377,-1,1,2,10000,10000,2
247,sampling,4096,2,0.00023349017664530587,19.963139057159424,-1,1,2,10000,10000,3
248,sampling,4096,2,0.0002614259218805088,19.960866928100586,-1,1,2,10000,10000,4
249,sampling,4096,2,0.00014318816449092933,20.05364489555359,-1,1,2,10000,10000,5
250,sampling,64,3,0.16640715387067653,0.06505203247070312,-1,1,2,10000,10000,1
251,sampling,64,3,0.11880169269851464,0.06429910659790039,-1,1,2,10000,10000,2
252,sampling,64,3,0.0706149261950841,0.07626652717590332,-1,1,2,10000,10000,3
253,sampling,64,3,0.10171363277628948,0.07587862014770508,-1,1,2,10000,10000,4
254,sampling,64,3,0.07765643017040137,0.07687067985534668,-1,1,2,10000,10000,5
255,sampling,101,3,0.047516758149160065,0.11929535865783691,-1,1,2,10000,10000,1
256,sampling,101,3,0.043072587054591896,0.11811280250549316,-1,1,2,10000,10000,2
257,sampling,101,3,0.03434403450605421,0.12673306465148926,-1,1,2,10000,10000,3
258,sampling,101,3,0.04189498451528302,0.1201479434967041,-1,1,2,10000,10000,4
259,sampling,101,3,0.03108372749033652,0.12160825729370117,-1,1,2,10000,10000,5
260,sampling,161,3,0.01325043869281444,0.19608855247497559,-1,1,2,10000,10000,1
261,sampling,161,3,0.01752778781424522,0.19672608375549316,-1,1,2,10000,10000,2
262,sampling,161,3,0.012396878221564546,0.18904662132263184,-1,1,2,10000,10000,3
263,sampling,161,3,0.020957773424549506,0.19412684440612793,-1,1,2,10000,10000,4
264,sampling,161,3,0.013816547741964072,0.18887972831726074,-1,1,2,10000,10000,5
265,sampling,256,3,0.0037576881009747398,0.33035802841186523,-1,1,2,10000,10000,1
266,sampling,256,3,0.0040832878578893304,0.3106255531311035,-1,1,2,10000,10000,2
267,sampling,256,3,0.004176101719600512,0.31140685081481934,-1,1,2,10000,10000,3
268,sampling,256,3,0.0027997916590885453,0.3091459274291992,-1,1,2,10000,10000,4
269,sampling,256,3,0.002605552527145474,0.3117985725402832,-1,1,2,10000,10000,5
270,sampling,406,3,0.002831648829570597,0.5030062198638916,-1,1,2,10000,10000,1
271,sampling,406,3,0.00204735092899166,0.5118012428283691,-1,1,2,10000,10000,2
272,sampling,406,3,0.002307719658632969,0.5042674541473389,-1,1,2,10000,10000,3
273,sampling,406,3,0.0018737145607142652,0.5108051300048828,-1,1,2,10000,10000,4
274,sampling,406,3,0.0018531363236258807,0.5132148265838623,-1,1,2,10000,10000,5
275,sampling,645,3,0.0015689238135328115,0.9273996353149414,-1,1,2,10000,10000,1
276,sampling,645,3,0.0013926673531059377,0.9157788753509521,-1,1,2,10000,10000,2
277,sampling,645,3,0.0012419240800134587,0.9080164432525635,-1,1,2,10000,10000,3
278,sampling,645,3,0.001119992654906603,0.9140787124633789,-1,1,2,10000,10000,4
279,sampling,645,3,0.001131694012741449,0.9090144634246826,-1,1,2,10000,10000,5
280,sampling,1024,3,0.0013078551905893322,1.57673978805542,-1,1,2,10000,10000,1
281,sampling,1024,3,0.0008555576186435759,1.5850582122802734,-1,1,2,10000,10000,2
282,sampling,1024,3,0.0006819886348756443,1.5739376544952393,-1,1,2,10000,10000,3
283,sampling,1024,3,0.0009266515433154433,1.555171251296997,-1,1,2,10000,10000,4
284,sampling,1024,3,0.001474178860085681,1.576385498046875,-1,1,2,10000,10000,5
285,sampling,1625,3,0.0008713223986619731,2.9745681285858154,-1,1,2,10000,10000,1
286,sampling,1625,3,0.0010068580627138758,2.9676458835601807,-1,1,2,10000,10000,2
287,sampling,1625,3,0.000641152316804948,2.9668502807617188,-1,1,2,10000,10000,3
288,sampling,1625,3,0.0010091391526761946,2.9703426361083984,-1,1,2,10000,10000,4
289,sampling,1625,3,0.0017271372173642216,2.9868404865264893,-1,1,2,10000,10000,5
290,sampling,2580,3,0.0008477985272280331,8.594297409057617,-1,1,2,10000,10000,1
291,sampling,2580,3,0.0009822473954831173,8.289166927337646,-1,1,2,10000,10000,2
292,sampling,2580,3,0.00046065472864929884,7.397303581237793,-1,1,2,10000,10000,3
293,sampling,2580,3,0.0008935191186882752,7.412860631942749,-1,1,2,10000,10000,4
294,sampling,2580,3,0.0008083356784959652,7.424508333206177,-1,1,2,10000,10000,5
295,sampling,4096,3,0.0005005914309169782,22.306277751922607,-1,1,2,10000,10000,1
296,sampling,4096,3,0.0004364239047537338,22.22949743270874,-1,1,2,10000,10000,2
297,sampling,4096,3,0.0002818069361286552,22.275129318237305,-1,1,2,10000,10000,3
298,sampling,4096,3,0.0003943726263338605,22.23011064529419,-1,1,2,10000,10000,4
299,sampling,4096,3,0.0003262926548527576,22.310218334197998,-1,1,2,10000,10000,5
300,sampling,64,1,0.014287497479122427,0.024164438247680664,-1,1,3,10000,10000,1
301,sampling,64,1,0.013978724405650027,0.02472376823425293,-1,1,3,10000,10000,2
302,sampling,64,1,0.014376272871669373,0.024367809295654297,-1,1,3,10000,10000,3
303,sampling,64,1,0.01477118974185488,0.02443671226501465,-1,1,3,10000,10000,4
304,sampling,64,1,0.014126763840950182,0.024344444274902344,-1,1,3,10000,10000,5
305,sampling,101,1,0.01154265082635283,0.0410761833190918,-1,1,3,10000,10000,1
306,sampling,101,1,0.011053742091121407,0.045522212982177734,-1,1,3,10000,10000,2
307,sampling,101,1,0.009528316218189517,0.046576499938964844,-1,1,3,10000,10000,3
308,sampling,101,1,0.011501238957926652,0.04708456993103027,-1,1,3,10000,10000,4
309,sampling,101,1,0.010271129992650948,0.04658341407775879,-1,1,3,10000,10000,5
310,sampling,161,1,0.007822450163389123,0.07369375228881836,-1,1,3,10000,10000,1
