,model_type,n_width,n_layers,l2_relative,time_fit,xlim_min,xlim_max,n_dim,n_points_train,n_points_test
122,sampling,99,1,0.01489910837173147,0.0265653133392334,-1,1,3,10000,10000
123,sampling,123,1,0.012797268584098031,0.03380894660949707,-1,1,3,10000,10000
124,sampling,153,1,0.010949953357628618,0.04263162612915039,-1,1,3,10000,10000
125,sampling,191,1,0.009046935465724657,0.057385921478271484,-1,1,3,10000,10000
126,sampling,237,1,0.00706255081961351,0.07215309143066406,-1,1,3,10000,10000
127,sampling,296,1,0.005887998975277762,0.09435701370239258,-1,1,3,10000,10000
128,sampling,368,1,0.005481175448961735,0.12985706329345703,-1,1,3,10000,10000
129,sampling,458,1,0.0046882290611753264,0.1921675205230713,-1,1,3,10000,10000
130,sampling,571,1,0.004210184675423422,0.2728118896484375,-1,1,3,10000,10000
131,sampling,710,1,0.003732762043690198,0.33680129051208496,-1,1,3,10000,10000
132,sampling,884,1,0.0031537412324980194,0.5385556221008301,-1,1,3,10000,10000
133,sampling,1101,1,0.0028528277187566285,0.7596540451049805,-1,1,3,10000,10000
134,sampling,1371,1,0.0025090027708195117,1.0877079963684082,-1,1,3,10000,10000
135,sampling,1706,1,0.0021307354014356325,1.7302260398864746,-1,1,3,10000,10000
136,sampling,2124,1,0.0017437696685899521,2.952544689178467,-1,1,3,10000,10000
137,sampling,2643,1,0.0014795908392003887,5.308401107788086,-1,1,3,10000,10000
138,sampling,3290,1,0.0011550333593823108,9.570924043655396,-1,1,3,10000,10000
139,sampling,4096,1,0.000906451278727008,17.445062398910522,-1,1,3,10000,10000
140,sampling,64,2,0.05721635566245496,0.0229184627532959,-1,1,3,10000,10000
141,sampling,79,2,0.0469073476212752,0.0313413143157959,-1,1,3,10000,10000
142,sampling,99,2,0.04156573567716753,0.04354286193847656,-1,1,3,10000,10000
143,sampling,123,2,0.02803456118779824,0.05585050582885742,-1,1,3,10000,10000
144,sampling,153,2,0.023928389512837926,0.07010078430175781,-1,1,3,10000,10000
145,sampling,191,2,0.018707469521536416,0.08885955810546875,-1,1,3,10000,10000
146,sampling,237,2,0.013348651084027644,0.11491131782531738,-1,1,3,10000,10000
147,sampling,296,2,0.01052367778727156,0.1483755111694336,-1,1,3,10000,10000
148,sampling,368,2,0.008613563109354428,0.2128751277923584,-1,1,3,10000,10000
