,layer_width,n_modes,learning_rate,n_layers,batch_size,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
96,1024,32,1e-05,1,64,0.007795498639094429,0.008313297231210347,0.008379151253533272,2381.5885271076113,in_fourier,adam
97,1024,32,1e-05,2,64,0.0015900443817538055,0.014743797909681148,0.014305429305052278,2614.011693895484,in_fourier,adam
98,1024,32,1e-05,4,64,0.003085849740909634,0.025122271760944875,0.02460329433575083,4261.756671444513,in_fourier,adam
99,1024,32,5e-05,1,64,0.003801112702372301,0.004146217748930187,0.004142854374330217,1747.937835085516,in_fourier,adam
100,1024,32,5e-05,2,64,0.0030521870267260216,0.014270317467083541,0.014219080652253304,1319.1126322513446,in_fourier,adam
101,1024,32,5e-05,4,64,0.006334543394225067,0.026649411697210273,0.025983095310158643,969.8163513053829,in_fourier,adam
102,1024,32,0.0001,1,64,0.0038470183751032577,0.004163146467925843,0.004112339704558511,1270.073118169792,in_fourier,adam
103,1024,32,0.0001,2,64,0.005643973900045354,0.015192446023884441,0.015021489544685046,536.9963130457327,in_fourier,adam
104,1024,32,0.0001,4,64,0.01176585269666762,0.03129750129006986,0.030443187077251493,467.025456461745,in_fourier,adam
105,1024,32,0.0005,1,64,0.00575543686558258,0.006078504080514222,0.006052623901096365,589.3008813131601,in_fourier,adam
106,1024,32,0.0005,2,64,0.023941733916914693,0.03176846780529217,0.031360716233297274,163.62926186962673,in_fourier,adam
107,1024,32,0.0005,4,64,0.046469810191094196,0.060912628923722956,0.059876920972177394,248.7911118408665,in_fourier,adam
108,2048,8,1e-05,1,64,0.011669820187015,0.020109042105210705,0.01979571337298748,2057.8285857584947,in_fourier,adam
109,2048,8,1e-05,2,64,0.0022298945475925504,0.06899717051568095,0.06667174229650674,4850.3078890579445,in_fourier,adam
110,2048,8,1e-05,4,64,0.005103865993953022,0.08505427534817615,0.08428090224920877,11951.497795819305,in_fourier,adam
111,2048,8,5e-05,1,64,0.003147163850368676,0.007443921659565487,0.0073370160344603435,2091.9281619939334,in_fourier,adam
112,2048,8,5e-05,2,64,0.004845410226771387,0.05588135865197011,0.0545241159159267,2222.6810442566252,in_fourier,adam
113,2048,8,5e-05,4,64,0.011441109087321799,0.08624799786590338,0.08413065266085296,1798.4802382085472,in_fourier,adam
114,2048,8,0.0001,1,64,0.0028514526330258804,0.006249971087747059,0.006236539547652124,2037.893860664529,in_fourier,adam
115,2048,8,0.0001,2,64,0.00830977603951165,0.05482546861334256,0.05330315362534497,859.3144901478663,in_fourier,adam
116,2048,8,0.0001,4,64,0.016996472802312697,0.08143596480451469,0.07921500962228234,1003.1968243913725,in_fourier,adam
117,2048,8,0.0005,1,64,0.006074365169439619,0.007486582769165028,0.007450967172135878,643.643322848094,in_fourier,adam
118,2048,8,0.0005,2,64,0.03790285222682927,0.06084688458060175,0.059795230399673056,422.83687217409414,in_fourier,adam
119,2048,8,0.0005,4,64,0.045603476118943255,0.06995860833015242,0.06985138033477713,2445.8321241913363,in_fourier,adam
120,2048,16,1e-05,1,64,0.008286753916777865,0.011533391388106676,0.011568827547172774,2372.786513828983,in_fourier,adam
121,2048,16,1e-05,2,64,0.0020937633016541776,0.035536037745448765,0.03462966134937263,5148.014409677436,in_fourier,adam
122,2048,16,1e-05,4,64,0.0036976100161792446,0.05099631702248905,0.05120921828236271,10094.545600286065,in_fourier,adam
123,2048,16,5e-05,1,64,0.00288023077274756,0.003891333721628284,0.0038744719194159344,2333.850182987439,in_fourier,adam
124,2048,16,5e-05,2,64,0.005204446193747721,0.032262483672454205,0.032079057778933995,1522.7134520563607,in_fourier,adam
125,2048,16,5e-05,4,64,0.011273573042634788,0.05271899186009662,0.051746397502017365,1449.2874072439347,in_fourier,adam
126,2048,16,0.0001,1,64,0.0030081681035429315,0.003940099744411527,0.003933729793444842,1802.8518642752122,in_fourier,adam
127,2048,16,0.0001,2,64,0.009847961394080377,0.032929523806785814,0.03189279149839139,685.0347288719689,in_fourier,adam
128,2048,16,0.0001,4,64,0.015917147212712073,0.053814622082997955,0.052357579213491656,1004.6719031066945,in_fourier,adam
129,2048,16,0.0005,1,64,0.006573537660252569,0.007396771850487924,0.007297460501765607,535.0002327946326,in_fourier,adam
130,2048,16,0.0005,2,64,0.033419533506461166,0.044772064077790295,0.04442511663339793,494.8612691421683,in_fourier,adam
131,2048,16,0.0005,4,64,0.049108126119299066,0.06811296867039944,0.0674172421288498,2076.740863827057,in_fourier,adam
132,2048,32,1e-05,1,64,0.006535425599993614,0.0076808212831166464,0.007681164684456558,2478.8515578492857,in_fourier,adam
133,2048,32,1e-05,2,64,0.0014076582911104326,0.02071575442273486,0.02010298065222944,5423.860977857374,in_fourier,adam
134,2048,32,1e-05,4,64,0.0030003184189484455,0.032525058599832485,0.03203760055729712,9546.228966484467,in_fourier,adam
135,2048,32,5e-05,1,64,0.0031997174845190784,0.003742168701841989,0.0037310691620638567,1952.1242541357253,in_fourier,adam
136,2048,32,5e-05,2,64,0.005555271135378829,0.019876859160071803,0.020005843925521984,1189.0579820107669,in_fourier,adam
137,2048,32,5e-05,4,64,0.010118020828743845,0.03482532247182048,0.03443425587221029,1304.918320237038,in_fourier,adam
138,2048,32,0.0001,1,64,0.0035901138533178494,0.00405650820605792,0.004007409199900562,1276.0422994655867,in_fourier,adam
139,2048,32,0.0001,2,64,0.008818417761397914,0.02130197863651263,0.021337619906914736,620.74916377229,in_fourier,adam
140,2048,32,0.0001,4,64,0.01604558957016027,0.03673101744244591,0.03682902615153364,870.2989567937329,in_fourier,adam
141,2048,32,0.0005,1,64,0.007204620023285281,0.007671761405401027,0.007575776265754384,452.62697651144117,in_fourier,adam
142,2048,32,0.0005,2,64,0.03086952205014092,0.03950633868550965,0.03900561937401523,584.6277496476347,in_fourier,adam
143,2048,32,0.0005,4,64,0.04938800070784909,0.06689560409698843,0.06665631509347288,2206.6418476589024,in_fourier,adam
144,4098,8,1e-05,1,64,0.00898877685880581,0.03306294814105148,0.03206049495887529,2229.088001611332,in_fourier,adam
145,4098,8,1e-05,2,64,0.004267954332960826,0.0906087000138609,0.0883078862474873,16296.088676182553,in_fourier,adam
146,4098,8,1e-05,4,64,0.011389376528079994,0.11935667387970313,0.11664655173784579,30883.421047506232,in_fourier,adam
147,4098,8,5e-05,1,64,0.0034433146286363243,0.024751072256168998,0.024415735046261555,2304.0063653131947,in_fourier,adam
148,4098,8,5e-05,2,64,0.007739960599923772,0.0686200370127333,0.06642818039270743,8271.534246737448,in_fourier,adam
149,4098,8,5e-05,4,64,0.016063167168725113,0.10488008150206614,0.10214452408832762,5733.670159035362,in_fourier,adam
150,4098,8,0.0001,1,64,0.003360405369159596,0.020288471212455698,0.019869427169014058,2489.4232158440477,in_fourier,adam
151,4098,8,0.0001,2,64,0.012464397605936905,0.06258918396137993,0.06081232925151017,4028.788350258333,in_fourier,adam
152,4098,8,0.0001,4,64,0.014162585345204334,0.07582746562950186,0.07520495753107709,7538.962898826227,in_fourier,adam
153,4098,8,0.0005,1,64,0.007110999205801608,0.01202591352893631,0.0118981186634849,932.2155879723529,in_fourier,adam
