,layer_width,n_modes,regularization_scale,n_layers,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
29,512,8,1e-10,4,0.10113061581019984,0.10844932572661826,0.10665292713659191,1.044458491106828,in_fourier,swim
30,512,8,1e-08,1,0.006698956814879563,0.007193161895948415,0.007114432461199811,0.37784855253994465,in_fourier,swim
31,512,8,1e-08,2,0.06576588030992196,0.0714674772513461,0.07048314792585396,0.5885198131824533,in_fourier,swim
32,512,8,1e-08,4,0.1004432384883968,0.10699540454733607,0.105477085769443,1.0188504584754507,in_fourier,swim
33,512,8,1e-06,1,0.01748322772768924,0.018081713850915292,0.017785711224815925,0.4199992837384343,in_fourier,swim
34,512,8,1e-06,2,0.06526545177313564,0.07074669794475129,0.06967518212263792,0.6756761679425836,in_fourier,swim
35,512,8,1e-06,4,0.1279815716624626,0.13438297806895136,0.13166821647408297,1.0536624289428194,in_fourier,swim
36,512,16,1e-10,1,0.005486839990458477,0.006077553917054053,0.005983812456248538,0.46079409526040155,in_fourier,swim
37,512,16,1e-10,2,0.06794469543335212,0.07392704958426372,0.07315729042141438,0.7353367647156119,in_fourier,swim
38,512,16,1e-10,4,0.09874957562868514,0.10523644601017035,0.10362451677710478,1.1463001295924187,in_fourier,swim
39,512,16,1e-08,1,0.006692960061846494,0.00719522475240907,0.007085314081318163,0.43196835120519,in_fourier,swim
40,512,16,1e-08,2,0.06407172172972314,0.06991379820685917,0.06867868476055898,0.6525789129858216,in_fourier,swim
41,512,16,1e-08,4,0.10608594805268473,0.1133946941150068,0.1111159399234423,1.0965034446368616,in_fourier,swim
42,512,16,1e-06,1,0.017493442764685774,0.018055792607282465,0.017679959645622672,0.4845757946992914,in_fourier,swim
43,512,16,1e-06,2,0.06396651730836435,0.0690133293728757,0.0683459341673665,0.7064029419173797,in_fourier,swim
44,512,16,1e-06,4,0.1349850872689849,0.14100078093993895,0.13825203744314066,1.1619085501879454,in_fourier,swim
45,512,32,1e-10,1,0.005460896050091396,0.006013682527799543,0.005897192935720463,0.47495678657044965,in_fourier,swim
46,512,32,1e-10,2,0.06406903069074546,0.06961585764776536,0.06886335868337545,0.7159512800474962,in_fourier,swim
47,512,32,1e-10,4,0.1071196777087023,0.11467824383873648,0.11201673974683589,1.1437101274107893,in_fourier,swim
48,512,32,1e-08,1,0.00669837432507149,0.007200534002104168,0.007125338445638295,0.46159111460049945,in_fourier,swim
49,512,32,1e-08,2,0.06912347165508967,0.07555457610993077,0.07441237115351453,0.6799472911904255,in_fourier,swim
50,512,32,1e-08,4,0.10454425106536275,0.11232953415048784,0.1098724907851214,1.1816929119328659,in_fourier,swim
