,layer_width,learning_rate,n_layers,batch_size,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
39,2048,5e-05,1,64,0.010442292643050835,0.010590341639643943,0.010526544441661683,449.94764600570005,fcn,adam
40,2048,5e-05,2,64,0.004764690647736946,0.004873810789801471,0.0048255494572194855,1025.924092946574,fcn,adam
41,2048,5e-05,4,64,0.005002406903949707,0.005174361935788585,0.005137797889464575,1787.9714250030618,fcn,adam
42,2048,0.0001,1,64,0.011785096791836515,0.011903775644411023,0.011855273229128072,286.8573387408008,fcn,adam
43,2048,0.0001,2,64,0.004782159720376526,0.004880769625896953,0.00484203066452673,832.3427094065895,fcn,adam
44,2048,0.0001,4,64,0.005967715996413888,0.006158576834309783,0.006116801954972102,1244.0409225976716,fcn,adam
45,2048,0.0005,1,64,0.012309737559721546,0.01242123644441382,0.012379599263738097,191.2798703306665,fcn,adam
46,2048,0.0005,2,64,0.015506800843622118,0.01567203811415755,0.015518266928855858,242.35558898778012,fcn,adam
47,2048,0.0005,4,64,0.053977045702181724,0.05427255320703,0.053357472452989406,308.3551338100806,fcn,adam
48,4098,1e-05,1,64,0.01044225380249036,0.01057305134276286,0.010548304241235346,934.2534001292661,fcn,adam
49,4098,1e-05,2,64,0.005048159138735264,0.005177022721291635,0.005111350411921518,4085.9166958009205,fcn,adam
50,4098,1e-05,4,64,0.005053186847855124,0.005219483052763198,0.00516820782264751,6659.419998821802,fcn,adam
51,4098,5e-05,1,64,0.010938535347662917,0.011086599439084327,0.011005779600854379,585.8183741016934,fcn,adam
52,4098,5e-05,2,64,0.005384465230494437,0.005473971916067424,0.005437871993769039,2061.845834999966,fcn,adam
53,4098,5e-05,4,64,0.007644399245722679,0.007792453367575183,0.007725119787158154,5328.417102711275,fcn,adam
54,4098,0.0001,1,64,0.011870605886755406,0.01204533904158865,0.011919663447040013,337.9238693518564,fcn,adam
55,4098,0.0001,2,64,0.0044787473661427385,0.004602127707842149,0.004573583621536265,2212.6706843295447,fcn,adam
56,4098,0.0001,4,64,0.015079353049434195,0.015172880973841937,0.014999459016994737,4600.650703518962,fcn,adam
57,4098,0.0005,1,64,0.013819004369402579,0.01387775029919367,0.013857558373418224,249.6816395210723,fcn,adam
58,4098,0.0005,2,64,0.03305260112612072,0.03310929935774449,0.032897351138224375,419.8659087282916,fcn,adam
59,4098,0.0005,4,64,0.15496291675438412,0.15486400344259818,0.1546486636313966,955.4838151832422,fcn,adam
