,n_hidden_channels,n_modes,learning_rate,n_layers,batch_size,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
27,16,32,0.0005,1,64,0.0017222448976503477,0.0017372002626458802,0.0017733711716201573,1288.0735846810664,fno,adam
28,16,32,0.0005,2,64,0.0006813850849866867,0.0006802701639632385,0.0007182871126052405,1718.1894783331081,fno,adam
29,16,32,0.0005,4,64,0.0004926022240823066,0.000489997276208467,0.0005185036576456494,3040.7823928740495,fno,adam
30,16,32,0.001,1,64,0.001442374036129978,0.001423226486477587,0.001470982970048984,1589.7400387261685,fno,adam
31,16,32,0.001,2,64,0.0004987292004128297,0.0004965971341977516,0.0005081030593978034,1480.6179522558425,fno,adam
32,16,32,0.001,4,64,0.0004547195744321302,0.0004638258694774575,0.00047068098849720424,2320.0064642193415,fno,adam
33,16,32,0.005,1,64,0.0006872733280890519,0.0006842414889898565,0.0007036141471730338,1348.531741624698,fno,adam
34,16,32,0.005,2,64,0.0003923911332256264,0.0004028742940475544,0.0004017395923535029,2098.2123263835288,fno,adam
35,16,32,0.005,4,64,0.00036140465646706247,0.00037870940710935325,0.00037750450873540506,3119.2900058906525,fno,adam
36,32,8,0.0001,1,64,0.013610993345578512,0.013432183080249363,0.013462022476726107,1018.3557562368611,fno,adam
37,32,8,0.0001,2,64,0.0014366656356939562,0.0014202959703074561,0.001487901107304626,1864.8655787510797,fno,adam
38,32,8,0.0001,4,64,0.0010261263276139896,0.0010321133331292205,0.0010882966820564535,3191.954323620846,fno,adam
39,32,8,0.0005,1,64,0.013128725815702368,0.012971465104156069,0.012931446962886386,1029.5391831661884,fno,adam
40,32,8,0.0005,2,64,0.001216454755100939,0.0012333332954181566,0.001254933783163627,1742.5151828999321,fno,adam
41,32,8,0.0005,4,64,0.0007840552656324925,0.0008074968867003918,0.0008345134183764457,3166.62329582187,fno,adam
42,32,8,0.001,1,64,0.01307630752854877,0.012921072006225586,0.012876096838050419,953.9168613233293,fno,adam
43,32,8,0.001,2,64,0.0010135364513154381,0.0010343844174510904,0.001050170628560914,1687.5230779076617,fno,adam
44,32,8,0.001,4,64,0.0006890399912027298,0.0007126197181642055,0.0007302721610499752,2750.5738989658034,fno,adam
