,architecture,n_hidden_channels,n_layers,n_modes,batch_size,learning_rate,n_epochs,patience,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
91,fno,32,2,32,64,0.005,2000,100,0.0,0.00037020326633420257,0.0003811280181010564,0.00038520722463727,1658.9763559196144,145158306
92,fno,32,1,8,64,0.001,2000,100,0.0,0.013106136275662317,0.012940440475940704,0.012908085664113363,771.4122448526323,793497873
93,fno,32,2,32,64,0.001,2000,100,0.0,0.00045578881270355646,0.000456197834884127,0.0004769311559696992,1536.9656928498298,690690459
94,fno,16,2,32,64,0.005,2000,100,0.0,0.00041548043572240404,0.00042481542378664016,0.0004254984005043904,2451.586467061192,714153342
95,fno,32,4,8,64,0.001,2000,100,0.0,0.0007316228076815605,0.0007535434340437253,0.000777167946100235,2862.159436008893,93347467
96,fno,32,1,8,64,0.005,2000,100,0.0,0.0130081989897622,0.012888365765412649,0.01282792353630066,1009.5981703000143,43119847
97,fno,32,4,8,64,0.001,2000,100,0.0,0.0006860848081608614,0.0007156292013823986,0.0007242758485178153,2746.5570701714605,347732724
98,fno,16,2,8,64,0.005,2000,100,0.0,0.0014106275704171922,0.001422045571108659,0.0014229189877708753,2116.9465936841443,96994059
99,fno,16,1,16,64,0.005,2000,100,0.0,0.0006201420161459181,0.0006222651787102223,0.0006445058745642503,1367.73465333879,600691724
100,fno,32,4,8,64,0.005,2000,100,0.0,0.0005832532515956296,0.0006491552442312241,0.0006463436484336853,2337.783247948624,657350816
101,fno,16,1,16,64,0.005,2000,100,0.0,0.0007300572871334023,0.0007366202659904957,0.0007487145091096561,1383.8525919504464,558302706
102,fno,32,4,32,64,0.0001,2000,100,0.0,0.0006324635342591339,0.0006235287475089232,0.000680478007843097,2792.566278161481,955796712
103,fno,32,1,16,64,0.0005,2000,100,0.0,0.0008766455720696185,0.0008690980933606624,0.0008997092035909494,1110.528058854863,144855290
104,fno,16,4,8,64,0.0005,2000,100,0.0,0.001928338098857138,0.0019330877338846525,0.0019276309212048848,2597.9845759756863,520210178
105,fno,32,4,32,64,0.0001,2000,100,0.0,0.0005812514051795006,0.0005670137175669273,0.0006250981837511063,2563.1875023925677,299436990
106,fno,16,1,8,64,0.005,2000,100,0.0,0.013159734447797139,0.012976223270098368,0.01293757387002309,494.3166541690007,558026883
107,fno,32,4,16,64,0.0005,2000,100,0.0,0.0005049325790670183,0.0005120217228929202,0.0005287609460453192,1308.5724566485733,780261653
108,fno,32,1,8,64,0.0001,2000,100,0.0,0.01352493315272861,0.013351356228192647,0.013372724672158559,994.1956232013181,196271166
109,fno,16,4,16,64,0.005,2000,100,0.0,0.0003584751542657614,0.00037548759517570335,0.0003787598293274641,3228.57620349247,163431662
110,fno,16,1,8,64,0.005,2000,100,0.0,0.013032253033585019,0.012862752159436544,0.01281404995918274,789.4718284141272,635025580
111,fno,16,4,16,64,0.0005,2000,100,0.0,0.0005216340863456329,0.0005170088037848473,0.0005442305418352286,3266.605005393736,841837552
112,fno,32,4,16,64,0.0005,2000,100,0.0,0.0004401852453334464,0.00043606016909082733,0.0004613671849171321,2329.2960871113464,640036967
113,fno,16,2,8,64,0.0001,2000,100,0.0,0.003975425748361482,0.0039054952561855317,0.0039744139562050505,1903.3093220563605,343423447
114,fno,16,2,32,64,0.0001,2000,100,0.0,0.0010629500796397527,0.0010351347140967846,0.0011293405989805858,1716.516149896197,555492406
115,fno,32,1,8,64,0.0001,2000,100,0.0,0.013610927045345306,0.013437234222888946,0.013444354554017384,937.7328018182889,148580604
116,fno,16,1,32,64,0.001,2000,100,0.0,0.0011894580548008284,0.0011670229497055212,0.00120183002948761,1283.4905387284234,433080464
117,fno,32,4,8,64,0.0001,2000,100,0.0,0.0010006465576589108,0.0010168026909232139,0.001041321982940038,2843.1525674387813,451404827
118,fno,16,2,8,64,0.0001,2000,100,0.0,0.004393595372637113,0.004298501824339231,0.004522849246859551,1515.6943840179592,160713442
119,fno,16,4,8,64,0.005,2000,100,0.0,0.0006423827457345194,0.0006672402980426947,0.0006689806170761585,2751.096138323657,443672979
120,fno,32,4,32,64,0.0001,2000,100,0.0,0.000587855398034056,0.0005664819988111655,0.0006260080145051082,2630.05200751964,956145157
121,fno,16,4,8,64,0.005,2000,100,0.0,0.0009912856908308135,0.0010388770264883837,0.001031700602422158,2942.6896465830505,742763068
122,fno,16,4,32,64,0.001,2000,100,0.0,0.0004469331968575716,0.000451593363036712,0.0004616001769900322,1948.7105571711436,99971231
123,fno,32,2,16,64,0.001,2000,100,0.0,0.00045224280717472235,0.00044563163133958975,0.00047404363999764126,1347.7812913693488,572094304
124,fno,16,1,16,64,0.0005,2000,100,0.0,0.0017607362849844826,0.0017666525915265084,0.0018193890328208606,1282.1307239001617,934787085
125,fno,16,1,8,64,0.0001,2000,100,0.0,0.015315436250633663,0.015119478861490886,0.015246210277080535,1130.859953998588,616650469
126,fno,16,2,8,64,0.005,2000,100,0.0,0.0011567723837991556,0.0011674094833433628,0.0011933077722787856,812.924884416163,629379617
127,fno,32,2,8,64,0.0001,2000,100,0.0,0.0014619519611199696,0.001471487301091353,0.0015549722363551457,1545.413126767613,683848172
128,fno,16,1,16,64,0.0005,2000,100,0.0,0.0022638366147875785,0.002229808864494165,0.002307908256848653,1299.318000787869,228598405
129,fno,16,2,8,64,0.005,2000,100,0.0,0.0018789582633309894,0.0019168789933125179,0.001898612082004547,2144.2717102002352,908722560
130,fno,16,2,32,64,0.0001,2000,100,0.0,0.0013342279468973478,0.0013217381673554579,0.0014177268606921038,2041.8338886015117,165072076
131,fno,16,2,16,64,0.0001,2000,100,0.0,0.002176283197270499,0.0021333412279685338,0.0022944833089907964,1924.4326024930924,788096990
132,fno,16,1,16,64,0.0001,2000,100,0.0,0.0028807576911316977,0.0028441227450966837,0.003036649833122889,1277.6559731168672,358854832
133,fno,16,1,8,64,0.001,2000,100,0.0,0.013369652138815986,0.013213877081871033,0.013173120816548665,1152.6948870960623,81653897
134,fno,16,2,32,64,0.0001,2000,100,0.0,0.0016872316292590565,0.0016468441784381867,0.0018257826566696167,1833.0915361884981,724448856
135,fno,32,4,32,64,0.005,2000,100,0.0,0.00039956655436091954,0.00042120916955173016,0.00042317395160595576,2097.0022438941523,530253130
136,fno,32,2,8,64,0.005,2000,100,0.0,0.0009292247589263651,0.00099335977435112,0.000972793015340964,1821.843378094025,301415189
137,fno,32,2,16,64,0.0005,2000,100,0.0,0.00047640385913352173,0.00048042169772088527,0.0005003384097168842,1267.1894653597847,32117073
138,fno,16,4,16,64,0.001,2000,100,0.0,0.00040043895319104197,0.00040289727163811526,0.00041440436864892643,2906.111324154772,693381640
