,architecture,layer_width,n_hidden_channels,n_layers,n_modes,regularization_scale,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
166,fno_swim,4096,16,4,16,1e-10,0.00028954619847341344,0.0009530161983547284,0.000981488681420623,1428.057029094547,765419354
167,fno_swim,4096,16,4,16,1e-08,0.0004619547319578637,0.0011468203540258932,0.0011678268413739946,1434.0710804890841,495595162
168,fno_swim,4096,16,4,16,1e-06,0.0014332936198876516,0.0025402379907125032,0.002547321607590561,1323.4351721499115,789942146
169,fno_swim,4096,32,4,16,1e-10,0.0002787303025826152,0.0009161065974912301,0.0009541009342677216,2615.703378465958,355741807
170,fno_swim,4096,32,4,16,1e-08,0.0004408129933408697,0.0010549478047437414,0.0010675211615200197,2578.515623995103,737217978
171,fno_swim,4096,32,4,16,1e-06,0.0011643994615436097,0.0018770288043128062,0.0018806856702538095,2602.640954485163,898310034
172,fno_swim,4096,16,4,32,1e-10,0.00028827394964757365,0.0009512491208806354,0.0009855585144684456,1327.030710298568,646445969
173,fno_swim,4096,16,4,32,1e-08,0.00044732526122829045,0.0010919894930335816,0.0011029157140816067,1320.7588326158002,156855243
174,fno_swim,4096,16,4,32,1e-06,0.0013074062333426778,0.00217283105433178,0.0021803055728112134,1321.1329502649605,174519097
175,fno_swim,4096,32,4,32,1e-10,0.0002765888228516168,0.0008954789420034268,0.0009314865183119853,2615.35553287901,373355107
176,fno_swim,4096,32,4,32,1e-08,0.00044243599036685713,0.0010636761928826918,0.0010878351918697268,2644.523105734028,90796311
177,fno_swim,4096,32,4,32,1e-06,0.0011683525860762716,0.001900565861283414,0.0019201072028125798,2649.1286590276286,127922696
178,fno_swim,512,16,1,8,1e-08,0.006168783796617651,0.006818835920737665,0.006779693896481758,11.37692107912153,267315959
179,fno_swim,2048,32,2,8,1e-10,0.0008453158991121919,0.0014448463347978852,0.001443810104892466,232.85971124470234,71226077
180,fno_swim,2048,16,4,16,1e-10,0.0008657867042354268,0.001485084682527298,0.0014911236019441263,574.7200528960675,35320126
181,fno_swim,512,32,2,16,1e-10,0.005975497123359872,0.006711930169193925,0.006657097656752299,52.01741729397327,935781028
182,fno_swim,256,16,4,8,1e-08,0.01331117347843651,0.013975159599446726,0.013737822618720514,31.716863196343184,754683848
183,fno_swim,1024,32,1,8,1e-10,0.002516125648137934,0.00317779592560378,0.0031732646437029944,44.72175984270871,1579406
184,fno_swim,512,16,4,8,1e-10,0.006266112023077999,0.00694926491657902,0.006911839959322681,51.164279229938984,649381032
185,fno_swim,2048,32,2,32,1e-06,0.0016539864349350336,0.002312636742852589,0.0023461523119111187,262.4826290272176,427921270
186,fno_swim,2048,32,2,16,1e-08,0.0008552802320092025,0.0014332381600812869,0.0014322215510877028,248.97913510445505,999293160
187,fno_swim,256,32,2,8,1e-06,0.012897019067944791,0.013593193922051602,0.013469785914555872,29.91107660252601,12691303
188,fno_swim,512,32,1,16,1e-10,0.005837973364404329,0.006431800029773615,0.00637108919588007,23.298351635225117,280874552
189,fno_swim,256,16,4,8,1e-10,0.013203190767418972,0.01387384240436038,0.01383519604858736,30.994459721259773,902236271
190,fno_swim,2048,32,4,8,1e-06,0.001726695186428099,0.0025137420461578603,0.0025245565337580337,1065.684132957831,813891861
