,architecture,input_dim,layer_width,n_layers,n_modes,batch_size,learning_rate,n_epochs,patience,print_every,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
141,in_fourier,256,2048,1,32,64,0.0005,5000,200,1,0.0,0.007649206414598393,0.008017341623371364,0.007997481947418292,437.2781842574477,725967611
142,in_fourier,256,512,4,8,64,0.0001,5000,200,1,0.0,0.00712252919353822,0.04083925996220338,0.03993299340264748,1060.539960171096,331282325
143,in_fourier,256,2048,4,16,64,0.0005,5000,200,1,0.0,0.04996293045334788,0.06831820190291601,0.06712520653463515,2061.574113395065,973639789
144,in_fourier,256,4098,1,16,64,0.0001,5000,200,1,0.0,0.0033751652309123355,0.008423842854374487,0.008412221195612062,2227.352743862197,260411253
145,in_fourier,256,4098,4,8,64,0.0005,5000,200,1,0.0,0.04585210083004283,0.05977771465744112,0.058993972260923344,13293.70968241524,718374992
146,in_fourier,256,512,1,16,64,0.0005,5000,200,1,0.0,0.0058409062507098035,0.006073570793267554,0.006034512566511873,479.6541293198243,694214337
147,in_fourier,256,4098,1,8,64,0.0005,5000,200,1,0.0,0.007033956659049786,0.011727357230833504,0.011635960131962983,970.8074959479272,58182377
148,in_fourier,256,2048,1,32,64,5e-05,5000,200,1,0.0,0.002827393555145455,0.0033069629169049292,0.0032915275542361572,2214.5031763557345,61530492
149,in_fourier,256,2048,4,8,64,1e-05,5000,200,1,0.0,0.004556729896382343,0.086180348640928,0.08806324986012731,10790.607534389943,317249252
150,in_fourier,256,2048,4,32,64,1e-05,5000,200,1,0.0,0.0030816869132473555,0.032396326354155326,0.03160763978411926,8413.531286866404,767284351
151,in_fourier,256,2048,4,8,64,5e-05,5000,200,1,0.0,0.01228012381582523,0.09007775123155022,0.0871222492944071,1955.5448751598597,508871154
152,in_fourier,256,4098,4,8,64,0.0001,5000,200,1,0.0,0.017060014100259587,0.07546496681500747,0.07546576416881165,6156.108373373747,514472149
153,in_fourier,256,512,2,8,64,0.0001,5000,200,1,0.0,0.005308249303391446,0.03294878285842314,0.03167290978870664,914.5875426977873,932891367
154,in_fourier,256,512,4,32,64,5e-05,5000,200,1,0.0,0.0036192316509631867,0.011465017887551046,0.011728278625478492,2248.8716455847025,28281500
155,in_fourier,256,4098,4,8,64,1e-05,5000,200,1,0.0,0.013494498566242906,0.1218469321620439,0.12092901274667897,34097.956901784986,735653562
156,in_fourier,256,4098,2,8,64,0.0001,5000,200,1,0.0,0.013231102518100557,0.06282087331892433,0.06129020258030437,4553.25418866612,967860835
157,in_fourier,256,512,4,8,64,0.0001,5000,200,1,0.0,0.007865048530240637,0.04213935903524638,0.040159276484193665,901.158018425107,278579832
158,in_fourier,256,1024,4,8,64,1e-05,5000,200,1,0.0,0.004952483043548562,0.06445566082388128,0.06265605995008677,4013.6189191592857,253294475
159,in_fourier,256,4098,1,8,64,5e-05,5000,200,1,0.0,0.0033789680884815203,0.024869824794553106,0.024624580641757442,2251.8990721851587,423122830
160,in_fourier,256,1024,1,32,64,0.0005,5000,200,1,0.0,0.006070098733218349,0.006347539059653291,0.006369340777287571,553.3135487446561,907895673
