,architecture,input_dim,layer_width,n_layers,n_modes,regularization_scale,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
131,in_fourier_swim,256,1024,4,8,1e-10,0.05905774741144312,0.06785478052179796,0.06715692550359854,2.001660448499024,681237484
132,in_fourier_swim,256,256,4,32,1e-08,0.17161468829320406,0.1751048174226974,0.1725932853714101,0.5823976416140795,374927488
133,in_fourier_swim,256,2048,4,8,1e-06,0.09980420234296862,0.11027754798682476,0.10842656722042422,4.902456973679364,431565979
134,in_fourier_swim,256,4096,2,8,1e-06,0.011416353450175243,0.0135580224684728,0.013301757543732402,18.051532017998397,676903811
135,in_fourier_swim,256,1024,2,32,1e-08,0.02770194258641443,0.03192672661824912,0.03161845423879862,1.5200509261339903,645812691
136,in_fourier_swim,256,512,1,16,1e-10,0.00551340365608414,0.006075702079380466,0.005978768931194393,0.40058194007724524,127793398
137,in_fourier_swim,256,4096,2,32,1e-10,0.0014754680693394911,0.003174972701635486,0.0031543562031670484,17.342373251914978,102250832
138,in_fourier_swim,256,512,4,16,1e-08,0.10171743844743991,0.1090752480171952,0.10622573376162478,1.1134181916713715,714873333
139,in_fourier_swim,256,256,4,8,1e-08,0.13032785314172274,0.13399923446430864,0.1325795242494749,0.5608867043629289,297466665
140,in_fourier_swim,256,512,2,32,1e-08,0.06476472895352006,0.07136456813198663,0.06999895669039614,0.6605574730783701,6143887
141,in_fourier_swim,256,512,1,8,1e-06,0.0171306799370659,0.017713208012926085,0.017392823414579945,0.5388757353648543,763616647
142,in_fourier_swim,256,1024,4,16,1e-10,0.05644565926637681,0.06469175594558096,0.06441011936360075,2.269537325017154,830037000
143,in_fourier_swim,256,2048,4,32,1e-10,0.04201641674082525,0.054020788988588704,0.053525546516717384,4.968740447424352,781572487
144,in_fourier_swim,256,2048,1,8,1e-08,0.0025306393653543417,0.003175491922782911,0.0031279235529533445,2.4158231308683753,414544496
145,in_fourier_swim,256,2048,2,16,1e-10,0.007769014015493042,0.010444309297370332,0.010239141312143266,3.2286510849371552,418773819
146,in_fourier_swim,256,512,4,16,1e-06,0.14603151887024593,0.15212136075953842,0.14633278093530355,1.1162626007571816,121300167
147,in_fourier_swim,256,2048,2,8,1e-10,0.0076858634894478636,0.01024335854132831,0.010007967178599,3.518355288542807,641015925
148,in_fourier_swim,256,2048,2,32,1e-06,0.029625393701794785,0.03436918706250176,0.03394203683896821,3.5773304011672735,614551154
149,in_fourier_swim,256,256,2,8,1e-08,0.13765489617662313,0.14386017016084712,0.14155306643610396,0.2981464574113488,843810986
150,in_fourier_swim,256,512,4,32,1e-10,0.09756661108184307,0.10580620929076114,0.1028508021054945,1.1269136983901262,325089519
151,in_fourier_swim,256,4096,2,32,1e-08,0.003931857348820236,0.005875238957714489,0.005842211714645104,16.905666197650135,792787235
152,in_fourier_swim,256,256,1,8,1e-08,0.011417903785844695,0.011943707108493698,0.011725379541156215,0.21290343906730413,494655109
153,in_fourier_swim,256,2048,4,8,1e-10,0.03962105925122481,0.05232551070818808,0.05186354366834167,4.992432731203735,644852829
154,in_fourier_swim,256,256,1,8,1e-10,0.01087002918861475,0.011345026792378926,0.011161184213230636,0.213622672483325,244441849
155,in_fourier_swim,256,512,1,32,1e-08,0.006712214106945143,0.00721470269177959,0.00713226676640816,0.45392720587551594,985779789
156,in_fourier_swim,256,256,2,8,1e-06,0.11945574310401631,0.12338785242122911,0.12280295740797097,0.3093020860105753,788802850
157,in_fourier_swim,256,4096,2,8,1e-10,0.0015564360655753882,0.0030660878258516214,0.003052300936116911,17.297126374207437,654198119
158,in_fourier_swim,256,2048,4,16,1e-06,0.10114550874703164,0.11079714248148329,0.10841003110212612,4.7865389650687575,623249825
159,in_fourier_swim,256,1024,1,32,1e-10,0.00255762382450592,0.003183170861078376,0.003146087191348198,1.0464556086808443,235025696
160,in_fourier_swim,256,512,2,32,1e-10,0.06782620073536982,0.07374042222662468,0.07272594087860602,0.6606735484674573,713176354
161,in_fourier_swim,256,4096,4,8,1e-08,0.05620954937230609,0.0702830611585988,0.06926243724756583,20.475210439413786,315004764
162,in_fourier_swim,256,1024,1,8,1e-06,0.012627823881465971,0.013281497618433202,0.012992568955780532,0.8559881709516048,503962612
163,in_fourier_swim,256,4096,1,32,1e-08,0.0009036942665753812,0.00165565160929291,0.0016484448092438134,14.71754858084023,412192021
164,in_fourier_swim,256,4096,4,32,1e-06,0.09518547378781801,0.1047675703749111,0.10178358196308535,20.661555810831487,25957580
165,in_fourier_swim,256,1024,4,32,1e-06,0.12276095777390658,0.1307285540350991,0.12935966192175263,2.2062323596328497,169307903
166,in_fourier_swim,256,512,1,16,1e-08,0.006718258295211746,0.007169805920672152,0.00711678504820091,0.4783993549644947,245525606
167,in_fourier_swim,256,1024,1,16,1e-10,0.0025923208409605316,0.0032165751890644747,0.003180860009322997,0.9252853188663721,423202258
168,in_fourier_swim,256,4096,1,8,1e-06,0.0025898523309313766,0.0034575765498551553,0.003431629264203548,15.244168779812753,572380808
169,in_fourier_swim,256,1024,2,16,1e-08,0.0282991798052195,0.03266894689448985,0.03239315814871326,1.5374186486005783,91982503
170,in_fourier_swim,256,512,4,8,1e-10,0.09851688221588459,0.10645745734693607,0.10414049640745368,1.0157113019376993,55022343
171,in_fourier_swim,256,512,4,32,1e-10,0.08757133310912334,0.0942957321193337,0.09162622654704379,1.1920363828539848,900379992
172,in_fourier_swim,256,256,2,16,1e-10,0.12065039447980305,0.1254658668531627,0.12463471785546809,0.318882561288774,11767686
173,in_fourier_swim,256,4096,1,32,1e-06,0.0025999420064821057,0.003521261265794968,0.0035134669419275765,15.97090682014823,971719092
174,in_fourier_swim,256,1024,4,32,1e-08,0.08244600313741317,0.09176549290009814,0.09080288342927506,2.069325259886682,925136262
175,in_fourier_swim,256,256,1,32,1e-06,0.021127575030852455,0.021606146751898602,0.021307462110428967,0.2124103531241417,31652765
176,in_fourier_swim,256,1024,2,8,1e-10,0.01749665217221822,0.02071045571119843,0.02044180438188268,1.5902626551687717,524684438
177,in_fourier_swim,256,256,4,8,1e-06,0.19599761627871198,0.20263867803086796,0.19869679827080683,0.5062642460688949,175452005
178,in_fourier_swim,256,1024,1,32,1e-10,0.0025353395956209516,0.0031419899968276816,0.0030983153008378975,1.1167581677436829,824228127
179,in_fourier_swim,256,4096,4,16,1e-08,0.05085441729448314,0.06323099409951159,0.06156169991488317,20.40014196932316,367082672
180,in_fourier_swim,256,1024,4,8,1e-08,0.07465804479212154,0.08295314334385913,0.08204423247493516,1.9502264754846692,987139363
181,in_fourier_swim,256,1024,4,8,1e-06,0.11342088904247884,0.12118735094600981,0.11907116679587633,2.1242322828620672,361653014
182,in_fourier_swim,256,4096,2,8,1e-08,0.004117404984957765,0.00598431808538432,0.005894495692940769,16.313917683437467,934985256
183,in_fourier_swim,256,256,4,16,1e-10,0.17309795177381326,0.17948191750898562,0.17699607265613365,0.5156949860975146,89233348
184,in_fourier_swim,256,256,2,8,1e-08,0.1328422594599084,0.13755162783439004,0.1368361707132566,0.3100954042747617,127289046
185,in_fourier_swim,256,4096,2,32,1e-10,0.00147145534237145,0.0031585362647102845,0.0031533973849888616,16.991745891980827,518074089
186,in_fourier_swim,256,512,4,16,1e-08,0.10670587699735103,0.11392416176182905,0.11141090581732965,1.1057766927406192,616581578
187,in_fourier_swim,256,1024,2,32,1e-06,0.04302230536425543,0.047967127390971497,0.04790838208537667,1.3569680340588093,328418121
188,in_fourier_swim,256,2048,1,32,1e-06,0.00725429916322853,0.007983417147740103,0.007863057787764067,2.7169823553413153,783707993
189,in_fourier_swim,256,2048,4,16,1e-10,0.04196146626117981,0.054373156242409,0.05502566604031649,4.837974281981587,817108829
190,in_fourier_swim,256,4096,1,16,1e-08,0.000915266722565485,0.0016642456725728197,0.0016708920300222683,14.84201227221638,483824766
191,in_fourier_swim,256,1024,2,16,1e-06,0.04261819750123546,0.047766642417649045,0.04755972614731943,1.7155704302713275,475442551
192,in_fourier_swim,256,512,2,8,1e-10,0.06774474171744291,0.07425331748514769,0.07324043980120418,0.591875690035522,961946433
193,in_fourier_swim,256,2048,2,16,1e-08,0.014278634461401605,0.017441426601709303,0.01730768118640367,3.3281546775251627,868796341
194,in_fourier_swim,256,2048,2,32,1e-08,0.015034618293757122,0.01845254539746354,0.018244964019948726,3.5482440069317818,528503862
195,in_fourier_swim,256,512,1,32,1e-08,0.0066642691397714926,0.007172681492784196,0.007087644243267313,0.5376785630360246,139759111
196,in_fourier_swim,256,2048,1,16,1e-06,0.007492137307915218,0.008211657386452704,0.008103322899615963,2.4056329736486077,216832212
197,in_fourier_swim,256,256,2,32,1e-06,0.12888209782549717,0.13531449955340305,0.1322288499883638,0.3378342092037201,247530905
198,in_fourier_swim,256,1024,4,16,1e-06,0.1397893258222289,0.14918296124306105,0.14546702507295287,2.413993826135993,905701407
199,in_fourier_swim,256,512,4,32,1e-06,0.12070793186563873,0.12576840295500857,0.12385691440128854,1.2291417103260756,641731748
200,in_fourier_swim,256,2048,1,16,1e-08,0.0024606498583829746,0.0031379121272049407,0.0030813437025060263,2.8576978342607617,865805970
201,in_fourier_swim,256,256,1,32,1e-06,0.020730829663317518,0.021202496165255817,0.020988724892581766,0.30553919542580843,535547561
202,in_fourier_swim,256,4096,1,32,1e-10,0.00044318612873584044,0.001062899845931184,0.0010865443846910026,14.960487317293882,511052603
203,in_fourier_swim,256,256,1,32,1e-08,0.011489055169458548,0.012073221826706388,0.011845839381747334,0.2619334626942873,840209029
204,in_fourier_swim,256,2048,4,32,1e-06,0.09946154291015476,0.11014039348391176,0.10722490549922292,4.873868611641228,53426106
205,in_fourier_swim,256,1024,1,8,1e-10,0.002564971337885595,0.003128684649768447,0.003115012330346542,0.9843881167471409,477684684
206,in_fourier_swim,256,2048,4,8,1e-06,0.09987209080369339,0.10966772468626713,0.10798031491985817,4.778420603834093,327839487
207,in_fourier_swim,256,256,4,8,1e-06,0.19355376188694112,0.2002072061319263,0.19610418036030297,0.5324567798525095,458724660
208,in_fourier_swim,256,512,1,8,1e-06,0.017522202208544817,0.01812104361704288,0.017817086274104468,0.36279348470270634,408459255
209,in_fourier_swim,256,1024,4,8,1e-10,0.06648732484057375,0.07597023702195696,0.07489678804513797,2.129210310988128,290544208
210,in_fourier_swim,256,1024,2,16,1e-10,0.01705141040130142,0.02027408389429501,0.019836560258535654,1.3298774966970086,908091364
211,in_fourier_swim,256,256,4,16,1e-06,0.17927756368694772,0.18347566911051225,0.18054808145829307,0.6477522682398558,307865858
