,n_hidden_channels,n_modes,regularization_scale,n_layers,layer_width,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
110,16,32,1e-08,2,256,0.012980976762541714,0.013604092834039572,0.013542994022511587,16.673813910223544,fno,swim
111,16,32,1e-08,2,512,0.005915062279525071,0.006563653953535334,0.006486139863074367,28.102266791897517,fno,swim
112,16,32,1e-08,2,1024,0.002538500357262028,0.00325451894995289,0.0032421006427121226,55.64434948718796,fno,swim
113,16,32,1e-08,2,2048,0.000908109830891264,0.0015492759561152563,0.0015475578867482872,130.76646239186326,fno,swim
114,16,32,1e-08,2,4096,0.0004475994037840901,0.0010808102509759366,0.0010986299098393949,419.6395319175596,fno,swim
115,16,32,1e-08,4,256,0.013329460492307167,0.013957440666370375,0.013910437344308668,35.37590839589635,fno,swim
116,16,32,1e-08,4,512,0.006044383083870436,0.006862020835861728,0.006775049078386056,57.80618618397663,fno,swim
117,16,32,1e-08,4,1024,0.0027204361406772976,0.0036425669497315797,0.003614353419492481,113.0189628644536,fno,swim
118,16,32,1e-08,4,2048,0.0009043941611813752,0.0015640498975263526,0.0015729881047755398,261.23412757894647,fno,swim
119,16,32,1e-08,4,4096,0.00045860419253686106,0.0011285999656414122,0.0011472706405039257,960.3453203001991,fno,swim
120,16,32,1e-06,1,256,0.013679127178644576,0.014315225658684825,0.014222704612360587,7.759597805639108,fno,swim
121,16,32,1e-06,1,512,0.005856176536226739,0.0064959948493024,0.006446289042186785,13.161653733501831,fno,swim
122,16,32,1e-06,1,1024,0.002861488128422971,0.0035204480742338836,0.0035160746091264304,25.393887031202514,fno,swim
123,16,32,1e-06,1,2048,0.0017190017058883883,0.002443777197029922,0.002443996635176224,63.48780183959752,fno,swim
124,16,32,1e-06,1,4096,0.0012149709707002182,0.001992324895737355,0.0019941053067113004,206.34660884054998,fno,swim
125,16,32,1e-06,2,256,0.013981550470899226,0.014540191496854352,0.014457098108780925,16.840283744658034,fno,swim
126,16,32,1e-06,2,512,0.005984395295751038,0.006584963403755526,0.00660254292827038,38.94085689075291,fno,swim
127,16,32,1e-06,2,1024,0.002889813354811152,0.0036201640552408535,0.003588522233013205,52.67428900922338,fno,swim
128,16,32,1e-06,2,2048,0.00177403756439508,0.0026070868550470364,0.0025850967738278888,123.59911485016346,fno,swim
129,16,32,1e-06,2,4096,0.0012964110194081271,0.002202964899429402,0.0022125110305897012,403.35264032240957,fno,swim
130,16,32,1e-06,4,256,0.012886437570610192,0.0135003240278563,0.013402675981207856,35.18559503431121,fno,swim
131,16,32,1e-06,4,512,0.006115242086664037,0.006911561403029005,0.006863667625028318,58.50556281923006,fno,swim
132,16,32,1e-06,4,1024,0.003088146439716288,0.004086218020604676,0.004069049650346457,111.34621376482148,fno,swim
133,16,32,1e-06,4,2048,0.0017861152762265145,0.0026323793365129328,0.0026154453464345387,246.24137287804237,fno,swim
134,16,32,1e-06,4,4096,0.001326976338792727,0.0022246909055759737,0.0022337494627069194,959.230149743768,fno,swim
135,32,8,1e-10,1,256,0.013235418505822237,0.013846391651751453,0.01376614681560046,13.229086519218981,fno,swim
136,32,8,1e-10,1,512,0.00596059876719135,0.006606751716455354,0.006526314506596311,21.708893761970103,fno,swim
137,32,8,1e-10,1,1024,0.0025206638664804384,0.0031685148721460753,0.003163160184609132,42.73017609243592,fno,swim
138,32,8,1e-10,1,2048,0.0008422704350583817,0.0014324778336134178,0.0014437062130324286,109.34028978521626,fno,swim
139,32,8,1e-10,1,4096,0.000275093106058808,0.0008977277015197793,0.0009353096724555729,387.42496181931347,fno,swim
140,32,8,1e-10,2,256,0.013439944818119944,0.014012963061639717,0.013927928991934423,29.64082128368318,fno,swim
141,32,8,1e-10,2,512,0.005943799291112471,0.006585731386350641,0.006564532995943523,49.763791994191706,fno,swim
142,32,8,1e-10,2,1024,0.002559758223704235,0.003218685891196973,0.0032095836358541387,97.33843437364946,fno,swim
143,32,8,1e-10,2,2048,0.000847250236679394,0.001453087132520899,0.0014552772290746634,229.08831698913127,fno,swim
144,32,8,1e-10,2,4096,0.0002766151264748345,0.0009056221631589459,0.0009355632057151088,794.3072549992552,fno,swim
145,32,8,1e-10,4,256,0.013373906990104484,0.013931328957508267,0.013873786233018881,62.61977248514692,fno,swim
146,32,8,1e-10,4,512,0.0060167623563570334,0.006720774266863678,0.006652346884309195,100.36870256873469,fno,swim
147,32,8,1e-10,4,1024,0.0024991756533075133,0.0031822365775316477,0.0031689763448096535,194.5225528276836,fno,swim
148,32,8,1e-10,4,2048,0.0008245178064635407,0.0014031557855853428,0.0014123557667931885,463.30157106059295,fno,swim
149,32,8,1e-10,4,4096,0.0002787916161002574,0.0009103040432785594,0.0009366904089684525,1547.7848166519154,fno,swim
150,32,8,1e-08,1,256,0.013417782737436412,0.01401215325328297,0.013892357086460414,13.650660080835223,fno,swim
151,32,8,1e-08,1,512,0.005973301276741693,0.006604814296731158,0.006562008446929623,22.954519658349454,fno,swim
152,32,8,1e-08,1,1024,0.002503812705373379,0.003143830133686605,0.0031337722406084914,43.48687535648545,fno,swim
153,32,8,1e-08,1,2048,0.0008787319173773457,0.0014788851689853655,0.0014942835553788131,109.58936311397702,fno,swim
154,32,8,1e-08,1,4096,0.00044358352618995055,0.0010748551695509917,0.0010926983993140742,388.74163096832734,fno,swim
155,32,8,1e-08,2,256,0.013291794310398645,0.01388007879264743,0.013770907299248724,29.919733406044543,fno,swim
156,32,8,1e-08,2,512,0.005883599319833228,0.006519601140126116,0.0065082897947308545,48.668639640013375,fno,swim
157,32,8,1e-08,2,1024,0.0024993126791491714,0.003159367391687892,0.0031482760084300906,91.12240280738722,fno,swim
158,32,8,1e-08,2,2048,0.00089596585911971,0.0015157292034919773,0.0015169613130266515,221.16055784312388,fno,swim
159,32,8,1e-08,2,4096,0.0004350613822279353,0.0010598784811584152,0.0010720541898068302,792.1570634466285,fno,swim
