,architecture,input_dim,layer_width,n_layers,batch_size,learning_rate,n_epochs,patience,print_every,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
59,fcn,256,2048,2,64,0.0005,2000,100,1,0.0,0.014190017857380464,0.014385200805380692,0.014200348621931947,291.1878254553303,121715908
60,fcn,256,2048,4,64,0.0005,2000,100,1,0.0,0.08110450123607271,0.08147336727276824,0.0802040808372003,270.8288746010512,716253061
61,fcn,256,1024,4,64,0.0005,2000,100,1,0.0,0.02470398251057029,0.02499227964553489,0.024554396661082733,119.15772111900151,1536503
62,fcn,256,512,2,64,0.0005,2000,100,1,0.0,0.010181206536127026,0.010369500748322378,0.01022799188647086,138.18308502342552,30001097
63,fcn,256,2048,4,64,0.0001,2000,100,1,0.0,0.0060255935214465,0.006193334850458879,0.0061992836247988705,1143.528284468688,508550267
64,fcn,256,2048,4,64,0.0001,2000,100,1,0.0,0.006268080661574623,0.006474806047941341,0.006406377927746061,1086.5019545219839,342839364
65,fcn,256,4098,4,64,5e-05,2000,100,1,0.0,0.00511920494651051,0.005297152486015916,0.005218518567295072,9262.156077250838,515819810
66,fcn,256,512,1,64,0.0005,2000,100,1,0.0,0.012443668567659608,0.012599128643895447,0.012479502474749644,219.30575786158442,683221470
67,fcn,256,4098,4,64,0.0005,2000,100,1,0.0,0.11566622437956814,0.11605261332559583,0.11537322699850998,971.867152989842,901453022
68,fcn,256,512,4,64,0.0005,2000,100,1,0.0,0.009246681613533182,0.009479434169830353,0.009451407320124667,360.1989308334887,993862451
69,fcn,256,2048,2,64,0.0001,2000,100,1,0.0,0.005259188012742832,0.005349707741885398,0.005292495860975689,701.8446398051456,83370720
70,fcn,256,512,1,64,5e-05,2000,100,1,0.0,0.010714097126164111,0.010835101630517655,0.010795216355349921,476.5015348615125,877854601
71,fcn,256,2048,1,64,5e-05,2000,100,1,0.0,0.010346776754451722,0.010470748855174255,0.010462408085866797,458.5500656943768,400910895
