,layer_width,n_modes,learning_rate,n_layers,batch_size,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
58,512,16,0.0005,2,n/a,0.004818135251601537,0.005059624866892894,0.004996308435996373,131.2463817857206,deeponet,adam
59,512,16,0.0005,4,n/a,0.004858287672201793,0.00560413533821702,0.005537101998925209,191.99521701441458,deeponet,adam
60,512,32,1e-05,1,n/a,0.006401512306183577,0.006611380570878585,0.006609077875812848,466.3254409835984,deeponet,adam
61,512,32,1e-05,2,n/a,0.0019465559162199497,0.0021269129744420447,0.0021189306086550155,568.942125483416,deeponet,adam
62,512,32,1e-05,4,n/a,0.0019508744201933343,0.002215390559285879,0.0021966278242568174,865.8397711561993,deeponet,adam
63,512,32,5e-05,1,n/a,0.004577521234750748,0.004770716652274132,0.004743276629596949,450.42254347385216,deeponet,adam
64,512,32,5e-05,2,n/a,0.0016981248821442325,0.001874177367426455,0.0018613524346922834,529.3266788981855,deeponet,adam
65,512,32,5e-05,4,n/a,0.0017730189332117636,0.002044070977717638,0.002020744218801459,759.5782199914878,deeponet,adam
66,512,32,0.0001,1,n/a,0.004267205173770587,0.004439206017802159,0.004414091041932504,430.3001101659611,deeponet,adam
67,512,32,0.0001,2,n/a,0.001682801831824084,0.0018623473588377237,0.0018462066849072774,521.8076402821267,deeponet,adam
68,512,32,0.0001,4,n/a,0.0019898447208106518,0.002294837807615598,0.0022927191263685622,645.8925512979428,deeponet,adam
69,512,32,0.0005,1,n/a,0.0042492432209352655,0.004429245833307505,0.004390987878044446,397.1247884059946,deeponet,adam
70,512,32,0.0005,2,n/a,0.00383305293507874,0.004069314105436206,0.004020057230566938,134.1921581464509,deeponet,adam
71,512,32,0.0005,4,n/a,0.004767301337172587,0.005430660831431548,0.00536934503664573,198.74109370758137,deeponet,adam
72,1024,8,1e-05,1,n/a,0.021390511343876522,0.021335016936063766,0.021016540005803108,574.9081331829851,deeponet,adam
73,1024,8,1e-05,2,n/a,0.020751051604747772,0.020636300245920818,0.020303936675190926,883.0246408634508,deeponet,adam
74,1024,8,1e-05,4,n/a,0.020749235525727272,0.020641527449091274,0.02030752661327521,1256.764759794188,deeponet,adam
75,1024,8,5e-05,1,n/a,0.02127772631744544,0.02120763063430786,0.02088782439629237,407.3086677916969,deeponet,adam
