,architecture,input_dim,layer_width,n_layers,n_modes,batch_size,learning_rate,n_epochs,patience,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
160,deeponet,256,1024,1,32,n/a,1e-05,90000,4500,0,0.005738975014537573,0.006024469155818224,0.005993839353322983,540.6295469142497,316923386
161,deeponet,256,4098,1,16,n/a,0.0005,90000,4500,0,0.006341886706650257,0.006602915469557047,0.006600084248930216,421.5368571197614,207764150
162,deeponet,256,1024,2,16,n/a,5e-05,90000,4500,0,0.0020208521746098995,0.0022187537979334593,0.0021962050814181566,764.2359628882259,852159331
163,deeponet,256,1024,2,16,n/a,0.0001,90000,4500,0,0.003419175511226058,0.003642208641394973,0.00361420214176178,309.9636773876846,376930755
164,deeponet,256,2048,4,8,n/a,5e-05,90000,4500,0,0.02086813747882843,0.020806826651096344,0.02046591229736805,1870.6876835227013,517939309
165,deeponet,256,256,1,32,n/a,0.0001,90000,4500,0,0.004309660289436579,0.004458635114133358,0.004457545001059771,509.4416207810864,600286358
166,deeponet,256,256,1,16,n/a,0.0001,90000,4500,0,0.005034076049923897,0.0051971073262393475,0.0051660602912306786,388.1124810865149,502148607
167,deeponet,256,512,2,16,n/a,1e-05,90000,4500,0,0.0022258374374359846,0.0024303882382810116,0.002420843346044421,664.3233271781355,40195410
168,deeponet,256,4098,1,16,n/a,0.0005,90000,4500,0,0.005669869482517242,0.005940193310379982,0.005915724206715822,496.6935737077147,358656424
169,deeponet,256,4098,4,16,n/a,1e-05,90000,4500,0,0.002700159326195717,0.002969436114653945,0.0029439995996654034,9207.158681982197,556925237
170,deeponet,256,512,4,8,n/a,0.0001,90000,4500,0,0.021029608324170113,0.020953701809048653,0.020623469725251198,259.29669922590256,242140973
171,deeponet,256,4098,2,8,n/a,0.0001,90000,4500,0,0.021094517782330513,0.021050741896033287,0.020719431340694427,1639.2000931110233,478234830
172,deeponet,256,512,1,16,n/a,5e-05,90000,4500,0,0.0051146685145795345,0.005303884856402874,0.005286387167870998,501.82687447592616,553069064
173,deeponet,256,256,1,32,n/a,5e-05,90000,4500,0,0.005181549582630396,0.005369358230382204,0.005342510063201189,439.5416590748355,926363887
174,deeponet,256,256,2,32,n/a,5e-05,90000,4500,0,0.0019773622043430805,0.002117571420967579,0.0021174843423068523,583.7149037150666,990668367
175,deeponet,256,2048,2,8,n/a,0.0005,90000,4500,0,0.0212975163012743,0.021241215988993645,0.020930621773004532,345.55837698932737,738045929
176,deeponet,256,256,1,8,n/a,0.0001,90000,4500,0,0.02133902907371521,0.02124456875026226,0.020930232480168343,420.5923480251804,629386541
177,deeponet,256,256,1,16,n/a,1e-05,90000,4500,0,0.007347218692302704,0.007570421788841486,0.0075432308949530125,386.02515793498605,641410562
178,deeponet,256,256,1,32,n/a,0.0001,90000,4500,0,0.004371379502117634,0.004539832938462496,0.004497208632528782,540.9183177147061,978853436
179,deeponet,256,4098,2,16,n/a,5e-05,90000,4500,0,0.003614689689129591,0.0038396669551730156,0.003796171862632036,2346.3809792026877,917003861
180,deeponet,256,512,1,32,n/a,5e-05,90000,4500,0,0.004530901554971933,0.00472284248098731,0.004692236427217722,417.45843160524964,209521112
181,deeponet,256,1024,2,8,n/a,0.0001,90000,4500,0,0.0211335439234972,0.021048149093985558,0.020734110847115517,203.2186947967857,224501591
182,deeponet,256,1024,4,8,n/a,5e-05,90000,4500,0,0.02091582491993904,0.02082796022295952,0.02049878239631653,544.114692135714,180619898
183,deeponet,256,256,4,32,n/a,0.0005,90000,4500,0,0.004511316306889057,0.004950856324285269,0.004964942578226328,180.79272099304944,163986187
184,deeponet,256,1024,4,8,n/a,1e-05,90000,4500,0,0.020733550190925598,0.02062182128429413,0.02028699405491352,1356.2562322551385,776982346
185,deeponet,256,4098,2,16,n/a,1e-05,90000,4500,0,0.0020698639564216137,0.0022800287697464228,0.0022604502737522125,5773.313550659455,686359479
186,deeponet,256,512,2,16,n/a,5e-05,90000,4500,0,0.0020325789228081703,0.002233490813523531,0.00221460429020226,600.7132780821994,290324222
187,deeponet,256,512,2,32,n/a,1e-05,90000,4500,0,0.0019715551752597094,0.0021609580144286156,0.0021396083757281303,557.4443409526721,24432592
188,deeponet,256,512,4,16,n/a,0.0001,90000,4500,0,0.002408411353826523,0.00274931569583714,0.002737141214311123,417.50064623262733,222925319
189,deeponet,256,1024,4,16,n/a,1e-05,90000,4500,0,0.0017698385054245591,0.002036837162449956,0.002019462874159217,1616.1240147110075,677945487
190,deeponet,256,1024,2,8,n/a,5e-05,90000,4500,0,0.020812172442674637,0.02070540189743042,0.0203707255423069,578.8643894949928,218678308
